review_id,employee_id,review_date,reviewer_id,performance_score,goals_met_pct,rating_label
54,1006,2021-06-30,1001,2.5,67.8,Meets Expectations
55,1006,2021-12-31,1001,3.4,78.0,Meets Expectations
56,1006,2022-06-30,1001,4.5,74.9,Exceptional
57,1006,2022-12-31,1001,3.1,81.3,Meets Expectations
58,1006,2023-06-30,1001,3.7,78.1,Exceeds Expectations
59,1006,2023-12-31,1001,3.0,85.9,Meets Expectations
60,1006,2024-06-30,1001,3.6,83.3,Exceeds Expectations
61,1006,2024-12-31,1001,4.2,90.3,Exceeds Expectations
62,1007,2017-12-31,1007,4.0,75.5,Exceeds Expectations
63,1007,2018-06-30,1007,3.0,74.4,Meets Expectations
64,1007,2018-12-31,1007,3.3,98.0,Meets Expectations
65,1007,2019-06-30,1007,3.9,88.3,Exceeds Expectations
66,1007,2019-12-31,1007,2.6,79.9,Meets Expectations
67,1007,2020-06-30,1007,2.0,78.5,Below Expectations
68,1007,2020-12-31,1007,3.8,60.5,Exceeds Expectations
69,1007,2021-06-30,1007,3.6,83.3,Exceeds Expectations
70,1007,2021-12-31,1007,3.5,91.6,Exceeds Expectations
71,1007,2022-06-30,1007,2.7,65.9,Meets Expectations
72,1007,2022-12-31,1007,3.4,82.3,Meets Expectations
73,1007,2023-06-30,1007,5.0,100.0,Exceptional
74,1007,2023-12-31,1007,2.6,92.5,Meets Expectations
75,1007,2024-06-30,1007,3.9,88.3,Exceeds Expectations
76,1007,2024-12-31,1007,2.8,91.3,Meets Expectations
77,1008,2015-06-30,1008,2.8,84.8,Meets Expectations
78,1008,2015-12-31,1008,3.4,75.5,Meets Expectations
79,1008,2016-06-30,1008,2.3,97.6,Below Expectations
80,1008,2016-12-31,1008,2.5,94.2,Meets Expectations
81,1008,2017-06-30,1008,4.1,86.5,Exceeds Expectations
82,1008,2017-12-31,1008,3.7,76.8,Exceeds Expectations
83,1008,2018-06-30,1008,3.9,99.0,Exceeds Expectations
84,1008,2018-12-31,1008,5.0,62.1,Exceptional
85,1008,2019-06-30,1008,3.7,97.0,Exceeds Expectations
86,1008,2019-12-31,1008,2.7,88.9,Meets Expectations
87,1008,2020-06-30,1008,3.4,99.0,Meets Expectations
88,1008,2020-12-31,1008,3.9,79.8,Exceeds Expectations
89,1008,2021-06-30,1008,2.2,92.9,Below Expectations
90,1008,2021-12-31,1008,3.2,75.9,Meets Expectations
91,1008,2022-06-30,1008,3.1,97.3,Meets Expectations
92,1008,2022-12-31,1008,3.4,81.1,Meets Expectations
93,1008,2023-06-30,1008,3.0,87.7,Meets Expectations
94,1008,2023-12-31,1008,2.8,75.7,Meets Expectations
95,1008,2024-06-30,1008,1.9,92.8,Below Expectations
96,1008,2024-12-31,1008,3.0,83.0,Meets Expectations
97,1009,2022-06-30,1007,2.2,82.0,Below Expectations
98,1009,2022-12-31,1007,4.2,100.0,Exceeds Expectations
99,1009,2023-06-30,1007,3.8,94.7,Exceeds Expectations
100,1009,2023-12-31,1007,3.2,66.5,Meets Expectations
101,1009,2024-06-30,1007,3.4,75.8,Meets Expectations
102,1009,2024-12-31,1007,3.4,85.2,Meets Expectations
103,1010,2016-12-31,1005,3.7,98.2,Exceeds Expectations
104,1010,2017-06-30,1005,2.4,62.4,Below Expectations
105,1010,2017-12-31,1005,4.1,87.5,Exceeds Expectations
106,1010,2018-06-30,1005,3.2,70.3,Meets Expectations
107,1010,2018-12-31,1005,3.9,85.5,Exceeds Expectations
108,1010,2019-06-30,1005,2.7,56.3,Meets Expectations
109,1010,2019-12-31,1005,2.9,91.0,Meets Expectations
110,1010,2020-06-30,1005,2.0,89.2,Below Expectations
111,1010,2020-12-31,1005,3.9,70.5,Exceeds Expectations
112,1010,2021-06-30,1005,4.0,97.5,Exceeds Expectations
113,1010,2021-12-31,1005,3.5,90.7,Exceeds Expectations
114,1010,2022-06-30,1005,3.9,100.0,Exceeds Expectations
115,1010,2022-12-31,1005,3.3,100.0,Meets Expectations
116,1010,2023-06-30,1005,2.1,100.0,Below Expectations
117,1010,2023-12-31,1005,3.1,76.6,Meets Expectations
118,1010,2024-06-30,1005,4.1,66.9,Exceeds Expectations
119,1010,2024-12-31,1005,4.2,93.3,Exceeds Expectations
120,1011,2021-12-31,1011,4.3,82.8,Exceeds Expectations
121,1011,2022-06-30,1011,3.4,87.4,Meets Expectations
122,1011,2022-12-31,1011,1.9,95.2,Below Expectations
123,1011,2023-06-30,1011,3.4,85.4,Meets Expectations
124,1011,2023-12-31,1011,2.3,83.3,Below Expectations
125,1011,2024-06-30,1011,2.2,99.3,Below Expectations
126,1011,2024-12-31,1011,3.7,89.4,Exceeds Expectations
127,1012,2018-12-31,1005,2.4,87.2,Below Expectations
128,1012,2019-06-30,1005,3.4,81.0,Meets Expectations
129,1012,2019-12-31,1005,3.5,81.3,Exceeds Expectations
130,1012,2020-06-30,1005,3.5,97.5,Exceeds Expectations
131,1012,2020-12-31,1005,2.8,81.6,Meets Expectations
132,1012,2021-06-30,1005,2.8,89.1,Meets Expectations
133,1012,2021-12-31,1005,3.1,68.5,Meets Expectations
134,1012,2022-06-30,1005,3.3,89.8,Meets Expectations
135,1012,2022-12-31,1005,5.0,95.8,Exceptional
136,1012,2023-06-30,1005,4.7,99.9,Exceptional
137,1012,2023-12-31,1005,3.4,84.8,Meets Expectations
138,1012,2024-06-30,1005,3.3,81.5,Meets Expectations
139,1012,2024-12-31,1005,4.1,94.4,Exceeds Expectations
140,1013,2016-06-30,1013,2.7,99.7,Meets Expectations
141,1013,2016-12-31,1013,3.6,85.3,Exceeds Expectations
142,1013,2017-06-30,1013,3.1,93.1,Meets Expectations
143,1013,2017-12-31,1013,2.3,88.0,Below Expectations
144,1013,2018-06-30,1013,3.9,81.3,Exceeds Expectations
145,1013,2018-12-31,1013,3.2,78.2,Meets Expectations
146,1013,2019-06-30,1013,5.0,100.0,Exceptional
147,1013,2019-12-31,1013,4.1,100.0,Exceeds Expectations
148,1013,2020-06-30,1013,1.9,89.8,Below Expectations
149,1013,2020-12-31,1013,3.6,71.8,Exceeds Expectations
150,1013,2021-06-30,1013,2.8,70.6,Meets Expectations
151,1013,2021-12-31,1013,2.6,65.4,Meets Expectations
152,1013,2022-06-30,1013,3.1,92.5,Meets Expectations
153,1013,2022-12-31,1013,2.9,78.8,Meets Expectations
154,1013,2023-06-30,1013,4.8,58.6,Exceptional
155,1013,2023-12-31,1013,3.4,75.8,Meets Expectations
156,1013,2024-06-30,1013,3.4,74.0,Meets Expectations
157,1013,2024-12-31,1013,2.6,97.1,Meets Expectations
158,1014,2021-12-31,1014,2.5,71.9,Meets Expectations
159,1014,2022-06-30,1014,3.2,78.7,Meets Expectations
160,1014,2022-12-31,1014,3.3,97.0,Meets Expectations
161,1014,2023-06-30,1014,4.3,98.6,Exceeds Expectations
162,1014,2023-12-31,1014,3.5,94.7,Exceeds Expectations
163,1014,2024-06-30,1014,4.5,77.4,Exceptional
164,1014,2024-12-31,1014,3.6,80.7,Exceeds Expectations
165,1015,2015-12-31,1002,3.8,80.4,Exceeds Expectations
166,1015,2016-06-30,1002,2.2,90.4,Below Expectations
167,1015,2016-12-31,1002,3.0,79.4,Meets Expectations
168,1015,2017-06-30,1002,2.7,89.3,Meets Expectations
169,1015,2017-12-31,1002,3.4,65.3,Meets Expectations
170,1015,2018-06-30,1002,3.5,66.9,Exceeds Expectations
171,1015,2018-12-31,1002,2.6,89.8,Meets Expectations
172,1015,2019-06-30,1002,3.3,59.2,Meets Expectations
173,1015,2019-12-31,1002,3.4,83.8,Meets Expectations
174,1015,2020-06-30,1002,2.8,82.9,Meets Expectations
175,1015,2020-12-31,1002,3.5,63.3,Exceeds Expectations
176,1015,2021-06-30,1002,2.5,89.2,Meets Expectations
177,1015,2021-12-31,1002,4.0,88.3,Exceeds Expectations
178,1015,2022-06-30,1002,3.1,100.0,Meets Expectations
179,1015,2022-12-31,1002,3.1,84.5,Meets Expectations
180,1015,2023-06-30,1002,3.3,100.0,Meets Expectations
181,1015,2023-12-31,1002,2.9,84.2,Meets Expectations
182,1015,2024-06-30,1002,3.7,75.1,Exceeds Expectations
183,1015,2024-12-31,1002,2.9,90.7,Meets Expectations
184,1016,2024-12-31,1014,4.0,88.1,Exceeds Expectations
185,1017,2019-12-31,1017,3.4,95.7,Meets Expectations
186,1017,2020-06-30,1017,2.6,78.7,Meets Expectations
187,1017,2020-12-31,1017,3.0,88.0,Meets Expectations
188,1017,2021-06-30,1017,3.0,91.4,Meets Expectations
189,1017,2021-12-31,1017,3.9,95.3,Exceeds Expectations
190,1017,2022-06-30,1017,3.1,82.1,Meets Expectations
191,1017,2022-12-31,1017,4.2,97.3,Exceeds Expectations
192,1017,2023-06-30,1017,4.4,91.5,Exceeds Expectations
193,1017,2023-12-31,1017,2.7,98.3,Meets Expectations
194,1017,2024-06-30,1017,4.2,91.4,Exceeds Expectations
195,1017,2024-12-31,1017,2.8,91.7,Meets Expectations
196,1018,2022-12-31,1018,2.5,83.9,Meets Expectations
197,1018,2023-06-30,1018,4.0,84.7,Exceeds Expectations
198,1018,2023-12-31,1018,3.5,92.1,Exceeds Expectations
199,1018,2024-06-30,1018,3.5,100.0,Exceeds Expectations
200,1018,2024-12-31,1018,2.7,92.4,Meets Expectations
201,1019,2016-06-30,1019,3.7,100.0,Exceeds Expectations
202,1019,2016-12-31,1019,2.4,90.3,Below Expectations
203,1019,2017-06-30,1019,2.8,70.0,Meets Expectations
204,1019,2017-12-31,1019,3.5,83.8,Exceeds Expectations
205,1019,2018-06-30,1019,3.5,60.1,Exceeds Expectations
206,1019,2018-12-31,1019,4.2,100.0,Exceeds Expectations
207,1019,2019-06-30,1019,3.3,96.0,Meets Expectations
208,1019,2019-12-31,1019,4.2,82.2,Exceeds Expectations
209,1019,2020-06-30,1019,3.5,84.3,Exceeds Expectations
210,1019,2020-12-31,1019,3.7,76.9,Exceeds Expectations
211,1019,2021-06-30,1019,4.0,65.2,Exceeds Expectations
212,1019,2021-12-31,1019,2.0,82.3,Below Expectations
213,1019,2022-06-30,1019,2.2,87.1,Below Expectations
214,1019,2022-12-31,1019,4.1,70.6,Exceeds Expectations
215,1020,2019-12-31,1020,3.6,88.4,Exceeds Expectations
216,1021,2017-06-30,1003,3.4,75.2,Meets Expectations
217,1021,2017-12-31,1003,3.9,83.4,Exceeds Expectations
218,1021,2018-06-30,1003,3.3,75.4,Meets Expectations
219,1021,2018-12-31,1003,3.4,86.1,Meets Expectations
220,1021,2019-06-30,1003,3.6,93.1,Exceeds Expectations
221,1021,2019-12-31,1003,3.1,86.5,Meets Expectations
222,1021,2020-06-30,1003,3.1,58.5,Meets Expectations
223,1021,2020-12-31,1003,2.5,52.9,Meets Expectations
224,1021,2021-06-30,1003,3.6,81.6,Exceeds Expectations
225,1021,2021-12-31,1003,2.7,90.7,Meets Expectations
226,1021,2022-06-30,1003,2.5,85.1,Meets Expectations
227,1021,2022-12-31,1003,3.6,74.7,Exceeds Expectations
228,1021,2023-06-30,1003,4.2,100.0,Exceeds Expectations
229,1021,2023-12-31,1003,3.7,96.8,Exceeds Expectations
230,1021,2024-06-30,1003,4.1,80.5,Exceeds Expectations
231,1021,2024-12-31,1003,4.1,78.0,Exceeds Expectations
232,1022,2021-06-30,1003,2.7,74.1,Meets Expectations
233,1022,2021-12-31,1003,2.6,81.5,Meets Expectations
234,1022,2022-06-30,1003,2.8,86.8,Meets Expectations
235,1022,2022-12-31,1003,3.1,93.1,Meets Expectations
236,1022,2023-06-30,1003,2.8,88.0,Meets Expectations
237,1022,2023-12-31,1003,3.9,89.1,Exceeds Expectations
238,1022,2024-06-30,1003,4.1,95.9,Exceeds Expectations
239,1022,2024-12-31,1003,4.5,84.4,Exceptional
240,1023,2016-12-31,1023,2.5,76.0,Meets Expectations
241,1023,2017-06-30,1023,3.9,100.0,Exceeds Expectations
242,1023,2017-12-31,1023,4.3,75.8,Exceeds Expectations
243,1023,2018-06-30,1023,4.1,82.0,Exceeds Expectations
244,1023,2018-12-31,1023,3.2,74.8,Meets Expectations
245,1023,2019-06-30,1023,5.0,83.0,Exceptional
246,1023,2019-12-31,1023,2.9,80.5,Meets Expectations
247,1023,2020-06-30,1023,4.1,76.2,Exceeds Expectations
248,1023,2020-12-31,1023,3.8,86.2,Exceeds Expectations
249,1023,2021-06-30,1023,3.1,100.0,Meets Expectations
250,1023,2021-12-31,1023,3.3,94.8,Meets Expectations
251,1023,2022-06-30,1023,2.8,77.4,Meets Expectations
252,1023,2022-12-31,1023,3.6,74.2,Exceeds Expectations
253,1023,2023-06-30,1023,4.5,100.0,Exceptional
254,1023,2023-12-31,1023,4.1,83.5,Exceeds Expectations
255,1023,2024-06-30,1023,3.5,78.9,Exceeds Expectations
256,1023,2024-12-31,1023,4.5,100.0,Exceptional
257,1024,2018-06-30,1024,3.6,81.8,Exceeds Expectations
258,1024,2018-12-31,1024,4.1,80.2,Exceeds Expectations
259,1024,2019-06-30,1024,3.1,75.9,Meets Expectations
260,1024,2019-12-31,1024,3.4,88.0,Meets Expectations
261,1024,2020-06-30,1024,3.2,93.0,Meets Expectations
262,1024,2020-12-31,1024,3.1,89.4,Meets Expectations
263,1024,2021-06-30,1024,4.1,97.5,Exceeds Expectations
264,1024,2021-12-31,1024,3.2,93.6,Meets Expectations
265,1024,2022-06-30,1024,3.6,97.6,Exceeds Expectations
266,1024,2022-12-31,1024,2.8,65.6,Meets Expectations
267,1024,2023-06-30,1024,4.4,75.2,Exceeds Expectations
268,1024,2023-12-31,1024,3.6,82.6,Exceeds Expectations
269,1024,2024-06-30,1024,2.5,93.9,Meets Expectations
270,1024,2024-12-31,1024,3.2,97.9,Meets Expectations
271,1025,2020-12-31,1025,3.9,76.1,Exceeds Expectations
272,1025,2021-06-30,1025,4.2,68.6,Exceeds Expectations
273,1025,2021-12-31,1025,4.2,95.3,Exceeds Expectations
274,1025,2022-06-30,1025,3.7,100.0,Exceeds Expectations
275,1025,2022-12-31,1025,2.0,86.2,Below Expectations
276,1025,2023-06-30,1025,2.6,80.1,Meets Expectations
277,1025,2023-12-31,1025,3.4,81.3,Meets Expectations
278,1025,2024-06-30,1025,3.2,88.0,Meets Expectations
279,1025,2024-12-31,1025,3.2,75.4,Meets Expectations
280,1026,2021-06-30,1002,2.8,75.0,Meets Expectations
281,1026,2021-12-31,1002,2.7,84.0,Meets Expectations
282,1026,2022-06-30,1002,3.0,93.5,Meets Expectations
283,1026,2022-12-31,1002,3.5,80.8,Exceeds Expectations
284,1026,2023-06-30,1002,3.8,81.9,Exceeds Expectations
285,1026,2023-12-31,1002,4.0,70.6,Exceeds Expectations
286,1026,2024-06-30,1002,3.6,90.9,Exceeds Expectations
287,1026,2024-12-31,1002,4.8,74.9,Exceptional
288,1027,2023-06-30,1027,2.5,82.8,Meets Expectations
289,1027,2023-12-31,1027,3.2,86.4,Meets Expectations
290,1027,2024-06-30,1027,4.6,74.7,Exceptional
291,1027,2024-12-31,1027,2.9,77.2,Meets Expectations
292,1028,2021-06-30,1028,4.2,77.3,Exceeds Expectations
293,1028,2021-12-31,1028,3.4,77.6,Meets Expectations
294,1028,2022-06-30,1028,3.0,84.9,Meets Expectations
295,1028,2022-12-31,1028,3.1,71.1,Meets Expectations
296,1028,2023-06-30,1028,3.1,100.0,Meets Expectations
297,1028,2023-12-31,1028,3.3,88.2,Meets Expectations
298,1028,2024-06-30,1028,3.8,89.0,Exceeds Expectations
299,1028,2024-12-31,1028,2.8,65.4,Meets Expectations
300,1029,2019-12-31,1002,2.0,78.9,Below Expectations
301,1029,2020-06-30,1002,2.2,90.3,Below Expectations
302,1029,2020-12-31,1002,3.4,77.7,Meets Expectations
303,1029,2021-06-30,1002,3.4,58.2,Meets Expectations
304,1029,2021-12-31,1002,3.6,97.3,Exceeds Expectations
305,1029,2022-06-30,1002,2.8,93.7,Meets Expectations
306,1029,2022-12-31,1002,3.1,100.0,Meets Expectations
307,1029,2023-06-30,1002,4.5,76.4,Exceptional
308,1029,2023-12-31,1002,3.0,83.2,Meets Expectations
309,1029,2024-06-30,1002,4.4,78.6,Exceeds Expectations
310,1029,2024-12-31,1002,3.5,77.4,Exceeds Expectations
311,1030,2022-06-30,1008,3.9,95.5,Exceeds Expectations
312,1030,2022-12-31,1008,3.3,87.0,Meets Expectations
313,1031,2017-06-30,1011,3.4,86.3,Meets Expectations
314,1031,2017-12-31,1011,4.2,84.5,Exceeds Expectations
315,1031,2018-06-30,1011,2.2,76.5,Below Expectations
316,1031,2018-12-31,1011,3.1,86.9,Meets Expectations
317,1031,2019-06-30,1011,3.4,72.7,Meets Expectations
318,1031,2019-12-31,1011,3.1,77.6,Meets Expectations
319,1031,2020-06-30,1011,3.6,100.0,Exceeds Expectations
320,1031,2020-12-31,1011,2.6,100.0,Meets Expectations
321,1031,2021-06-30,1011,3.5,55.0,Exceeds Expectations
322,1031,2021-12-31,1011,3.2,71.8,Meets Expectations
323,1031,2022-06-30,1011,3.0,95.6,Meets Expectations
324,1031,2022-12-31,1011,3.8,100.0,Exceeds Expectations
325,1031,2023-06-30,1011,4.3,66.8,Exceeds Expectations
326,1031,2023-12-31,1011,2.4,90.0,Below Expectations
327,1031,2024-06-30,1011,3.4,81.0,Meets Expectations
328,1031,2024-12-31,1011,3.1,94.6,Meets Expectations
329,1032,2015-12-31,1007,2.8,97.5,Meets Expectations
330,1032,2016-06-30,1007,3.7,100.0,Exceeds Expectations
331,1032,2016-12-31,1007,3.5,76.6,Exceeds Expectations
332,1032,2017-06-30,1007,2.5,68.1,Meets Expectations
333,1032,2017-12-31,1007,3.7,94.7,Exceeds Expectations
334,1032,2018-06-30,1007,4.1,79.0,Exceeds Expectations
335,1032,2018-12-31,1007,3.9,79.5,Exceeds Expectations
336,1032,2019-06-30,1007,3.7,92.9,Exceeds Expectations
337,1032,2019-12-31,1007,3.6,53.2,Exceeds Expectations
338,1032,2020-06-30,1007,3.1,94.5,Meets Expectations
339,1032,2020-12-31,1007,4.1,77.1,Exceeds Expectations
340,1032,2021-06-30,1007,3.2,66.6,Meets Expectations
341,1032,2021-12-31,1007,3.6,100.0,Exceeds Expectations
342,1032,2022-06-30,1007,1.9,93.3,Below Expectations
343,1032,2022-12-31,1007,3.2,85.9,Meets Expectations
344,1032,2023-06-30,1007,4.0,92.6,Exceeds Expectations
345,1032,2023-12-31,1007,4.3,82.3,Exceeds Expectations
346,1032,2024-06-30,1007,4.0,81.8,Exceeds Expectations
347,1032,2024-12-31,1007,2.5,76.4,Meets Expectations
348,1033,2015-12-31,1033,3.9,75.9,Exceeds Expectations
349,1033,2016-06-30,1033,3.1,78.1,Meets Expectations
350,1033,2016-12-31,1033,2.4,98.3,Below Expectations
351,1033,2017-06-30,1033,3.9,76.6,Exceeds Expectations
352,1033,2017-12-31,1033,5.0,87.0,Exceptional
353,1033,2018-06-30,1033,3.2,100.0,Meets Expectations
354,1033,2018-12-31,1033,4.3,73.1,Exceeds Expectations
355,1033,2019-06-30,1033,2.3,93.3,Below Expectations
356,1033,2019-12-31,1033,3.7,100.0,Exceeds Expectations
357,1033,2020-06-30,1033,3.2,81.8,Meets Expectations
358,1033,2020-12-31,1033,3.2,75.9,Meets Expectations
359,1033,2021-06-30,1033,2.9,78.3,Meets Expectations
360,1033,2021-12-31,1033,2.4,89.0,Below Expectations
361,1033,2022-06-30,1033,4.4,88.2,Exceeds Expectations
362,1033,2022-12-31,1033,3.0,88.3,Meets Expectations
363,1033,2023-06-30,1033,3.2,76.6,Meets Expectations
364,1033,2023-12-31,1033,2.9,100.0,Meets Expectations
365,1033,2024-06-30,1033,3.2,76.3,Meets Expectations
366,1033,2024-12-31,1033,3.7,93.1,Exceeds Expectations
367,1034,2023-12-31,1034,3.2,85.2,Meets Expectations
368,1034,2024-06-30,1034,2.8,81.4,Meets Expectations
369,1034,2024-12-31,1034,3.7,87.3,Exceeds Expectations
370,1035,2023-06-30,1005,3.3,76.6,Meets Expectations
371,1035,2023-12-31,1005,4.3,80.6,Exceeds Expectations
372,1036,2019-12-31,1036,3.7,86.1,Exceeds Expectations
373,1036,2020-06-30,1036,3.3,71.0,Meets Expectations
374,1036,2020-12-31,1036,4.4,96.0,Exceeds Expectations
375,1036,2021-06-30,1036,3.7,91.7,Exceeds Expectations
376,1036,2021-12-31,1036,2.9,96.9,Meets Expectations
377,1036,2022-06-30,1036,4.8,93.3,Exceptional
378,1036,2022-12-31,1036,1.0,72.3,Unsatisfactory
379,1036,2023-06-30,1036,4.4,89.3,Exceeds Expectations
380,1036,2023-12-31,1036,4.0,81.2,Exceeds Expectations
381,1036,2024-06-30,1036,3.6,98.0,Exceeds Expectations
382,1036,2024-12-31,1036,3.6,78.2,Exceeds Expectations
383,1037,2017-12-31,1037,3.3,86.4,Meets Expectations
384,1037,2018-06-30,1037,2.9,75.1,Meets Expectations
385,1037,2018-12-31,1037,4.0,100.0,Exceeds Expectations
386,1037,2019-06-30,1037,4.0,89.5,Exceeds Expectations
387,1037,2019-12-31,1037,2.7,96.2,Meets Expectations
388,1037,2020-06-30,1037,3.0,75.3,Meets Expectations
389,1037,2020-12-31,1037,3.1,70.0,Meets Expectations
390,1037,2021-06-30,1037,3.9,78.3,Exceeds Expectations
391,1037,2021-12-31,1037,2.5,85.5,Meets Expectations
392,1037,2022-06-30,1037,2.9,77.5,Meets Expectations
393,1037,2022-12-31,1037,2.4,100.0,Below Expectations
394,1038,2024-12-31,1023,2.9,100.0,Meets Expectations
395,1039,2017-12-31,1039,3.1,74.0,Meets Expectations
396,1039,2018-06-30,1039,2.5,78.4,Meets Expectations
397,1039,2018-12-31,1039,2.8,88.5,Meets Expectations
398,1039,2019-06-30,1039,2.4,100.0,Below Expectations
399,1039,2019-12-31,1039,4.2,63.4,Exceeds Expectations
400,1039,2020-06-30,1039,2.5,78.9,Meets Expectations
401,1039,2020-12-31,1039,4.4,78.5,Exceeds Expectations
402,1039,2021-06-30,1039,4.3,100.0,Exceeds Expectations
403,1039,2021-12-31,1039,3.7,81.0,Exceeds Expectations
404,1039,2022-06-30,1039,4.9,73.3,Exceptional
405,1039,2022-12-31,1039,4.3,72.2,Exceeds Expectations
406,1039,2023-06-30,1039,2.9,73.8,Meets Expectations
407,1039,2023-12-31,1039,3.4,80.3,Meets Expectations
408,1039,2024-06-30,1039,3.2,80.6,Meets Expectations
409,1039,2024-12-31,1039,4.3,91.9,Exceeds Expectations
410,1040,2020-12-31,1040,3.6,94.3,Exceeds Expectations
411,1040,2021-06-30,1040,4.1,77.4,Exceeds Expectations
412,1040,2021-12-31,1040,3.2,74.8,Meets Expectations
413,1040,2022-06-30,1040,3.8,88.0,Exceeds Expectations
414,1040,2022-12-31,1040,3.7,67.8,Exceeds Expectations
415,1040,2023-06-30,1040,2.7,87.0,Meets Expectations
416,1040,2023-12-31,1040,3.0,78.5,Meets Expectations
417,1040,2024-06-30,1040,3.6,98.8,Exceeds Expectations
418,1040,2024-12-31,1040,3.5,78.5,Exceeds Expectations
419,1041,2015-12-31,1003,3.8,82.7,Exceeds Expectations
420,1041,2016-06-30,1003,3.3,67.0,Meets Expectations
421,1041,2016-12-31,1003,3.5,100.0,Exceeds Expectations
422,1041,2017-06-30,1003,3.8,89.0,Exceeds Expectations
423,1041,2017-12-31,1003,4.8,83.8,Exceptional
424,1041,2018-06-30,1003,3.1,100.0,Meets Expectations
425,1041,2018-12-31,1003,3.6,92.1,Exceeds Expectations
426,1041,2019-06-30,1003,3.5,76.3,Exceeds Expectations
427,1041,2019-12-31,1003,2.6,68.2,Meets Expectations
428,1041,2020-06-30,1003,3.9,86.3,Exceeds Expectations
429,1041,2020-12-31,1003,3.9,100.0,Exceeds Expectations
430,1041,2021-06-30,1003,4.1,61.8,Exceeds Expectations
431,1041,2021-12-31,1003,2.5,100.0,Meets Expectations
432,1041,2022-06-30,1003,3.8,96.8,Exceeds Expectations
433,1041,2022-12-31,1003,3.0,99.2,Meets Expectations
434,1042,2022-12-31,1019,3.2,75.6,Meets Expectations
435,1042,2023-06-30,1019,3.8,70.0,Exceeds Expectations
436,1042,2023-12-31,1019,3.4,91.5,Meets Expectations
437,1042,2024-06-30,1019,3.8,80.3,Exceeds Expectations
438,1042,2024-12-31,1019,3.7,93.4,Exceeds Expectations
439,1043,2024-06-30,1018,4.3,85.8,Exceeds Expectations
