attendance_id,employee_id,year,month,working_days,days_present,days_absent,days_wfh,overtime_hours
106,1003,2023,4,20,18,2,4,9.8
107,1003,2023,5,23,21,2,3,3.2
108,1003,2023,6,22,21,1,9,3.8
109,1003,2023,7,21,19,2,10,11.3
110,1003,2023,8,23,23,0,4,7.5
111,1003,2023,9,21,19,2,7,8.4
112,1003,2023,10,22,21,1,6,11.4
113,1003,2023,11,22,22,0,8,1.2
114,1003,2023,12,21,20,1,7,3.6
115,1003,2024,1,23,23,0,2,0.6
116,1003,2024,2,21,19,2,0,11.1
117,1003,2024,3,21,20,1,7,0.3
118,1003,2024,4,22,22,0,10,5.5
119,1003,2024,5,23,21,2,5,8.7
120,1003,2024,6,20,20,0,3,8.6
121,1003,2024,7,23,21,2,1,10.6
122,1003,2024,8,22,22,0,4,5.6
123,1003,2024,9,21,21,0,6,0.6
124,1003,2024,10,23,23,0,3,8.4
125,1003,2024,11,21,19,2,8,0.3
126,1003,2024,12,22,21,1,2,2.8
127,1004,2020,1,23,21,2,10,7.0
128,1004,2020,2,20,19,1,10,4.1
129,1004,2020,3,22,20,2,6,1.5
130,1004,2020,4,22,22,0,2,1.5
131,1004,2020,5,21,21,0,6,6.0
132,1004,2020,6,22,20,2,5,0.5
133,1004,2020,7,23,22,1,6,8.3
134,1004,2020,8,21,21,0,6,9.4
135,1004,2020,9,22,22,0,9,2.9
136,1004,2020,10,22,21,1,10,0.5
137,1004,2020,11,21,19,2,6,10.3
138,1004,2020,12,23,22,1,4,10.9
139,1004,2021,1,21,20,1,3,11.5
140,1004,2021,2,20,18,2,6,0.2
141,1004,2021,3,23,21,2,6,5.4
142,1004,2021,4,22,22,0,4,4.1
143,1004,2021,5,21,20,1,6,10.4
144,1004,2021,6,22,20,2,3,5.5
145,1004,2021,7,22,22,0,6,4.4
146,1004,2021,8,22,20,2,4,9.4
147,1004,2021,9,22,21,1,10,10.1
148,1004,2021,10,21,21,0,0,0.2
149,1004,2021,11,22,21,1,5,3.1
150,1004,2021,12,23,23,0,1,7.4
151,1004,2022,1,21,19,2,4,0.6
152,1004,2022,2,20,19,1,7,8.7
153,1004,2022,3,23,22,1,7,4.3
154,1004,2022,4,21,21,0,10,11.1
155,1004,2022,5,22,20,2,1,6.9
156,1004,2022,6,22,20,2,1,6.7
157,1004,2022,7,21,20,1,3,8.4
158,1004,2022,8,23,21,2,10,2.3
159,1004,2022,9,22,20,2,3,0.2
160,1004,2022,10,21,20,1,9,10.9
161,1004,2022,11,22,21,1,1,4.4
162,1004,2022,12,22,22,0,1,0.4
163,1004,2023,1,22,20,2,1,4.6
164,1004,2023,2,20,20,0,2,2.9
165,1004,2023,3,23,23,0,2,7.7
166,1004,2023,4,20,18,2,2,6.1
167,1004,2023,5,23,23,0,2,4.4
168,1004,2023,6,22,22,0,1,11.9
169,1004,2023,7,21,21,0,1,1.1
170,1004,2023,8,23,23,0,10,6.1
171,1004,2023,9,21,20,1,5,1.5
172,1004,2023,10,22,20,2,7,11.6
173,1004,2023,11,22,22,0,2,9.6
174,1004,2023,12,21,21,0,7,5.1
175,1004,2024,1,23,23,0,6,2.4
176,1004,2024,2,21,21,0,4,7.6
177,1004,2024,3,21,21,0,9,1.3
178,1004,2024,4,22,22,0,7,7.7
179,1004,2024,5,23,22,1,8,8.2
180,1004,2024,6,20,18,2,3,0.4
181,1004,2024,7,23,23,0,1,4.6
182,1004,2024,8,22,22,0,8,0.4
183,1004,2024,9,21,20,1,3,9.1
184,1004,2024,10,23,21,2,3,2.7
185,1004,2024,11,21,20,1,1,11.3
186,1004,2024,12,22,20,2,0,7.7
187,1005,2022,11,22,22,0,4,10.3
188,1005,2022,12,22,22,0,4,0.7
189,1005,2023,1,22,21,1,9,7.5
190,1005,2023,2,20,18,2,6,1.5
191,1005,2023,3,23,22,1,10,3.4
192,1005,2023,4,20,20,0,0,2.5
193,1005,2023,5,23,22,1,7,3.9
194,1005,2023,6,22,20,2,9,7.8
195,1005,2023,7,21,20,1,6,4.3
196,1005,2023,8,23,23,0,0,7.8
197,1005,2023,9,21,20,1,3,4.2
198,1005,2023,10,22,21,1,8,1.8
199,1005,2023,11,22,21,1,10,5.2
200,1005,2023,12,21,20,1,10,6.8
201,1005,2024,1,23,22,1,4,4.5
202,1005,2024,2,21,19,2,3,6.2
203,1005,2024,3,21,20,1,0,3.3
204,1005,2024,4,22,21,1,2,1.7
205,1005,2024,5,23,22,1,5,10.9
206,1005,2024,6,20,19,1,2,1.3
207,1005,2024,7,23,22,1,7,6.9
208,1005,2024,8,22,21,1,5,2.1
209,1005,2024,9,21,19,2,7,11.4
210,1005,2024,10,23,21,2,2,1.0
211,1005,2024,11,21,21,0,3,11.0
212,1005,2024,12,22,22,0,9,7.1
213,1006,2020,1,23,23,0,2,3.6
214,1006,2020,2,20,19,1,7,3.1
215,1006,2020,3,22,20,2,2,4.8
216,1006,2020,4,22,22,0,5,8.9
217,1006,2020,5,21,21,0,4,0.6
218,1006,2020,6,22,21,1,10,6.6
219,1006,2020,7,23,22,1,6,2.5
220,1006,2020,8,21,21,0,10,5.3
221,1006,2020,9,22,22,0,7,1.0
222,1006,2020,10,22,20,2,6,5.5
223,1006,2020,11,21,21,0,6,11.1
224,1006,2020,12,23,23,0,8,2.8
225,1006,2021,1,21,21,0,3,3.5
226,1006,2021,2,20,18,2,6,10.3
227,1006,2021,3,23,21,2,2,3.9
228,1006,2021,4,22,22,0,1,0.7
229,1006,2021,5,21,21,0,7,0.9
230,1006,2021,6,22,21,1,1,6.5
231,1006,2021,7,22,20,2,4,6.2
232,1006,2021,8,22,21,1,4,9.9
233,1006,2021,9,22,20,2,6,3.1
234,1006,2021,10,21,19,2,0,8.0
235,1006,2021,11,22,22,0,3,10.7
236,1006,2021,12,23,21,2,7,10.7
237,1006,2022,1,21,20,1,1,0.7
238,1006,2022,2,20,19,1,9,2.2
239,1006,2022,3,23,23,0,2,8.8
240,1006,2022,4,21,20,1,1,10.7
241,1006,2022,5,22,21,1,9,8.8
242,1006,2022,6,22,22,0,6,3.4
243,1006,2022,7,21,20,1,4,5.2
244,1006,2022,8,23,23,0,7,0.1
245,1006,2022,9,22,21,1,0,4.1
246,1006,2022,10,21,19,2,9,9.3
247,1006,2022,11,22,21,1,4,11.5
248,1006,2022,12,22,20,2,7,8.7
249,1006,2023,1,22,21,1,10,3.8
250,1006,2023,2,20,20,0,5,7.9
251,1006,2023,3,23,22,1,4,8.1
252,1006,2023,4,20,20,0,2,3.5
253,1006,2023,5,23,22,1,2,1.6
254,1006,2023,6,22,21,1,8,2.0
255,1006,2023,7,21,20,1,1,4.5
256,1006,2023,8,23,22,1,1,5.0
257,1006,2023,9,21,20,1,0,1.4
258,1006,2023,10,22,21,1,6,6.1
259,1006,2023,11,22,22,0,10,4.7
260,1006,2023,12,21,19,2,4,10.0
261,1006,2024,1,23,23,0,5,5.8
262,1006,2024,2,21,20,1,8,6.1
263,1006,2024,3,21,19,2,8,2.0
264,1006,2024,4,22,21,1,9,0.9
265,1006,2024,5,23,23,0,3,8.8
266,1006,2024,6,20,18,2,3,10.2
267,1006,2024,7,23,22,1,6,2.1
268,1006,2024,8,22,21,1,1,8.8
269,1006,2024,9,21,19,2,0,4.6
270,1006,2024,10,23,22,1,1,5.4
271,1006,2024,11,21,20,1,5,1.8
272,1006,2024,12,22,22,0,0,8.6
273,1007,2020,1,23,23,0,1,2.5
274,1007,2020,2,20,19,1,7,2.3
275,1007,2020,3,22,21,1,9,0.0
276,1007,2020,4,22,20,2,8,7.0
277,1007,2020,5,21,21,0,1,2.4
278,1007,2020,6,22,21,1,7,9.8
279,1007,2020,7,23,21,2,1,11.0
280,1007,2020,8,21,20,1,8,7.2
281,1007,2020,9,22,20,2,6,9.4
282,1007,2020,10,22,22,0,3,9.6
283,1007,2020,11,21,21,0,7,8.8
284,1007,2020,12,23,22,1,2,0.5
285,1007,2021,1,21,19,2,6,10.6
286,1007,2021,2,20,19,1,6,5.5
287,1007,2021,3,23,22,1,1,10.9
288,1007,2021,4,22,21,1,10,4.6
289,1007,2021,5,21,21,0,1,6.9
290,1007,2021,6,22,20,2,8,7.9
291,1007,2021,7,22,22,0,6,4.3
292,1007,2021,8,22,20,2,10,2.1
293,1007,2021,9,22,22,0,1,8.1
294,1007,2021,10,21,21,0,4,7.2
295,1007,2021,11,22,22,0,6,10.1
296,1007,2021,12,23,21,2,4,2.2
297,1007,2022,1,21,21,0,9,11.4
298,1007,2022,2,20,19,1,6,2.0
299,1007,2022,3,23,22,1,7,10.9
300,1007,2022,4,21,19,2,1,1.2
301,1007,2022,5,22,21,1,9,1.2
302,1007,2022,6,22,20,2,8,4.9
303,1007,2022,7,21,21,0,9,6.3
304,1007,2022,8,23,22,1,7,3.7
305,1007,2022,9,22,21,1,1,2.5
306,1007,2022,10,21,19,2,2,1.2
307,1007,2022,11,22,21,1,10,4.0
308,1007,2022,12,22,22,0,2,2.7
309,1007,2023,1,22,21,1,10,8.2
310,1007,2023,2,20,20,0,2,7.7
311,1007,2023,3,23,23,0,8,2.1
312,1007,2023,4,20,20,0,6,6.1
313,1007,2023,5,23,23,0,4,10.3
314,1007,2023,6,22,21,1,5,8.6
315,1007,2023,7,21,20,1,5,6.1
316,1007,2023,8,23,22,1,6,4.4
317,1007,2023,9,21,19,2,2,2.9
318,1007,2023,10,22,22,0,5,11.6
319,1007,2023,11,22,22,0,10,9.6
320,1007,2023,12,21,21,0,4,1.3
321,1007,2024,1,23,23,0,0,4.5
322,1007,2024,2,21,19,2,6,3.6
323,1007,2024,3,21,20,1,6,6.8
324,1007,2024,4,22,22,0,9,1.9
325,1007,2024,5,23,23,0,9,0.5
326,1007,2024,6,20,19,1,6,11.7
327,1007,2024,7,23,21,2,3,5.3
328,1007,2024,8,22,20,2,5,7.8
329,1007,2024,9,21,20,1,0,3.3
330,1007,2024,10,23,23,0,2,7.6
331,1007,2024,11,21,19,2,9,6.2
332,1007,2024,12,22,22,0,0,3.7
333,1008,2020,1,23,21,2,10,6.4
334,1008,2020,2,20,18,2,2,6.6
335,1008,2020,3,22,22,0,1,3.5
336,1008,2020,4,22,21,1,9,2.7
337,1008,2020,5,21,20,1,10,9.5
338,1008,2020,6,22,20,2,9,10.4
339,1008,2020,7,23,23,0,6,7.5
340,1008,2020,8,21,20,1,5,10.3
341,1008,2020,9,22,21,1,9,3.2
342,1008,2020,10,22,21,1,10,0.4
343,1008,2020,11,21,20,1,5,1.2
344,1008,2020,12,23,23,0,4,7.4
345,1008,2021,1,21,21,0,1,11.5
346,1008,2021,2,20,20,0,9,7.0
347,1008,2021,3,23,21,2,4,2.1
348,1008,2021,4,22,21,1,7,9.5
349,1008,2021,5,21,19,2,7,8.3
350,1008,2021,6,22,21,1,0,5.6
351,1008,2021,7,22,22,0,8,7.1
352,1008,2021,8,22,20,2,3,2.7
353,1008,2021,9,22,22,0,1,8.9
354,1008,2021,10,21,19,2,8,2.5
355,1008,2021,11,22,20,2,7,8.7
356,1008,2021,12,23,23,0,10,7.9
357,1008,2022,1,21,19,2,1,9.0
358,1008,2022,2,20,19,1,1,8.1
359,1008,2022,3,23,22,1,3,5.8
360,1008,2022,4,21,19,2,9,2.7
361,1008,2022,5,22,20,2,0,3.5
362,1008,2022,6,22,21,1,2,1.7
363,1008,2022,7,21,21,0,5,12.0
364,1008,2022,8,23,23,0,8,1.5
365,1008,2022,9,22,20,2,5,10.1
366,1008,2022,10,21,21,0,10,6.0
367,1008,2022,11,22,20,2,2,7.4
368,1008,2022,12,22,21,1,2,10.4
369,1008,2023,1,22,20,2,2,0.8
370,1008,2023,2,20,20,0,9,10.0
371,1008,2023,3,23,22,1,0,7.5
372,1008,2023,4,20,18,2,1,3.4
373,1008,2023,5,23,21,2,5,5.3
374,1008,2023,6,22,22,0,6,2.4
375,1008,2023,7,21,19,2,0,2.4
376,1008,2023,8,23,21,2,8,11.6
377,1008,2023,9,21,21,0,5,2.5
378,1008,2023,10,22,22,0,5,1.9
379,1008,2023,11,22,20,2,10,9.4
380,1008,2023,12,21,21,0,3,2.1
381,1008,2024,1,23,22,1,2,0.7
382,1008,2024,2,21,21,0,4,7.4
383,1008,2024,3,21,20,1,6,7.4
384,1008,2024,4,22,21,1,2,10.5
385,1008,2024,5,23,23,0,4,8.2
386,1008,2024,6,20,18,2,10,1.6
387,1008,2024,7,23,23,0,4,11.5
388,1008,2024,8,22,20,2,8,10.4
389,1008,2024,9,21,20,1,1,1.6
390,1008,2024,10,23,23,0,5,11.7
391,1008,2024,11,21,20,1,1,5.4
392,1008,2024,12,22,21,1,2,0.9
393,1009,2022,3,23,23,0,3,10.1
394,1009,2022,4,21,19,2,1,0.1
395,1009,2022,5,22,20,2,8,2.4
396,1009,2022,6,22,21,1,9,2.7
397,1009,2022,7,21,19,2,5,11.0
398,1009,2022,8,23,23,0,4,4.1
399,1009,2022,9,22,21,1,8,5.2
400,1009,2022,10,21,21,0,7,9.3
401,1009,2022,11,22,21,1,1,0.2
402,1009,2022,12,22,21,1,9,9.1
403,1009,2023,1,22,21,1,8,4.3
404,1009,2023,2,20,20,0,7,6.3
405,1009,2023,3,23,22,1,1,9.6
406,1009,2023,4,20,20,0,2,5.6
407,1009,2023,5,23,21,2,7,7.2
408,1009,2023,6,22,22,0,1,10.4
409,1009,2023,7,21,20,1,10,3.6
410,1009,2023,8,23,22,1,3,9.0
411,1009,2023,9,21,21,0,5,7.7
412,1009,2023,10,22,21,1,3,1.5
413,1009,2023,11,22,20,2,0,0.3
414,1009,2023,12,21,21,0,1,0.3
415,1009,2024,1,23,23,0,0,6.0
416,1009,2024,2,21,19,2,0,6.2
417,1009,2024,3,21,21,0,6,8.1
418,1009,2024,4,22,21,1,8,5.4
419,1009,2024,5,23,23,0,2,7.5
420,1009,2024,6,20,18,2,3,3.2
421,1009,2024,7,23,21,2,9,0.4
422,1009,2024,8,22,22,0,6,2.5
423,1009,2024,9,21,19,2,1,11.3
424,1009,2024,10,23,22,1,1,11.6
425,1009,2024,11,21,21,0,4,5.0
426,1009,2024,12,22,20,2,4,3.8
427,1010,2020,1,23,22,1,8,3.1
428,1010,2020,2,20,18,2,9,9.9
429,1010,2020,3,22,21,1,5,8.2
430,1010,2020,4,22,22,0,1,4.3
431,1010,2020,5,21,19,2,10,11.6
432,1010,2020,6,22,20,2,7,8.2
433,1010,2020,7,23,21,2,1,4.2
434,1010,2020,8,21,21,0,4,11.1
435,1010,2020,9,22,21,1,2,5.3
436,1010,2020,10,22,22,0,8,2.4
437,1010,2020,11,21,21,0,3,5.3
438,1010,2020,12,23,22,1,2,8.1
439,1010,2021,1,21,21,0,9,4.8
440,1010,2021,2,20,19,1,0,6.3
441,1010,2021,3,23,22,1,8,9.7
442,1010,2021,4,22,20,2,7,5.9
443,1010,2021,5,21,20,1,10,6.0
444,1010,2021,6,22,21,1,1,6.7
445,1010,2021,7,22,22,0,0,5.3
446,1010,2021,8,22,22,0,3,3.6
447,1010,2021,9,22,20,2,3,5.0
448,1010,2021,10,21,19,2,3,1.7
449,1010,2021,11,22,22,0,7,7.9
450,1010,2021,12,23,21,2,10,8.1
451,1010,2022,1,21,20,1,3,9.4
452,1010,2022,2,20,19,1,7,3.5
453,1010,2022,3,23,22,1,1,7.7
454,1010,2022,4,21,20,1,7,5.3
455,1010,2022,5,22,22,0,5,5.1
456,1010,2022,6,22,21,1,8,10.6
457,1010,2022,7,21,20,1,7,0.1
458,1010,2022,8,23,22,1,2,3.9
459,1010,2022,9,22,22,0,5,6.7
460,1010,2022,10,21,21,0,1,11.1
461,1010,2022,11,22,21,1,3,0.2
462,1010,2022,12,22,21,1,3,2.9
463,1010,2023,1,22,21,1,3,0.7
464,1010,2023,2,20,19,1,1,4.7
465,1010,2023,3,23,22,1,7,4.7
466,1010,2023,4,20,19,1,9,8.4
467,1010,2023,5,23,21,2,3,5.8
468,1010,2023,6,22,21,1,4,0.1
469,1010,2023,7,21,20,1,8,8.4
470,1010,2023,8,23,21,2,0,1.3
471,1010,2023,9,21,19,2,0,3.2
472,1010,2023,10,22,22,0,9,4.7
473,1010,2023,11,22,20,2,5,0.8
474,1010,2023,12,21,21,0,6,8.6
475,1010,2024,1,23,23,0,8,9.7
476,1010,2024,2,21,19,2,3,1.2
477,1010,2024,3,21,21,0,1,11.7
478,1010,2024,4,22,20,2,0,2.0
479,1010,2024,5,23,22,1,10,8.8
480,1010,2024,6,20,20,0,8,7.5
481,1010,2024,7,23,21,2,1,2.0
482,1010,2024,8,22,20,2,8,6.5
483,1010,2024,9,21,20,1,10,6.7
484,1010,2024,10,23,23,0,5,9.7
485,1010,2024,11,21,21,0,6,11.7
486,1010,2024,12,22,21,1,5,10.5
487,1011,2021,9,22,20,2,0,1.3
488,1011,2021,10,21,21,0,7,6.8
489,1011,2021,11,22,20,2,0,6.8
490,1011,2021,12,23,23,0,6,4.9
491,1011,2022,1,21,21,0,4,11.0
492,1011,2022,2,20,19,1,0,9.5
493,1011,2022,3,23,21,2,10,1.4
494,1011,2022,4,21,19,2,7,2.6
495,1011,2022,5,22,22,0,1,1.3
496,1011,2022,6,22,20,2,10,11.8
497,1011,2022,7,21,21,0,9,11.2
498,1011,2022,8,23,22,1,1,9.4
499,1011,2022,9,22,21,1,4,2.5
500,1011,2022,10,21,19,2,10,3.5
501,1011,2022,11,22,21,1,8,5.2
502,1011,2022,12,22,22,0,5,1.0
503,1011,2023,1,22,21,1,1,8.4
504,1011,2023,2,20,20,0,0,4.5
505,1011,2023,3,23,22,1,5,4.0
506,1011,2023,4,20,19,1,1,3.2
507,1011,2023,5,23,23,0,4,1.4
508,1011,2023,6,22,20,2,10,10.7
509,1011,2023,7,21,21,0,10,5.8
510,1011,2023,8,23,23,0,7,7.2
511,1011,2023,9,21,20,1,2,6.2
512,1011,2023,10,22,21,1,8,8.1
513,1011,2023,11,22,20,2,10,2.7
514,1011,2023,12,21,21,0,1,5.5
515,1011,2024,1,23,22,1,4,8.5
516,1011,2024,2,21,20,1,5,5.9
517,1011,2024,3,21,21,0,8,3.5
518,1011,2024,4,22,22,0,9,5.8
519,1011,2024,5,23,21,2,3,0.6
520,1011,2024,6,20,19,1,8,9.3
521,1011,2024,7,23,22,1,4,8.4
522,1011,2024,8,22,21,1,1,1.4
523,1011,2024,9,21,20,1,5,2.7
524,1011,2024,10,23,21,2,10,7.8
525,1011,2024,11,21,19,2,3,11.1
526,1011,2024,12,22,21,1,3,6.4
527,1012,2020,1,23,21,2,6,3.1
528,1012,2020,2,20,20,0,2,3.5
529,1012,2020,3,22,21,1,7,4.7
530,1012,2020,4,22,20,2,2,7.7
531,1012,2020,5,21,19,2,9,3.0
532,1012,2020,6,22,21,1,1,9.8
533,1012,2020,7,23,22,1,1,6.5
534,1012,2020,8,21,19,2,10,7.0
535,1012,2020,9,22,22,0,9,8.3
536,1012,2020,10,22,21,1,1,11.9
537,1012,2020,11,21,21,0,0,7.5
538,1012,2020,12,23,21,2,5,5.7
539,1012,2021,1,21,20,1,3,1.7
540,1012,2021,2,20,19,1,5,9.7
541,1012,2021,3,23,23,0,8,11.4
542,1012,2021,4,22,21,1,2,0.7
543,1012,2021,5,21,20,1,3,7.6
544,1012,2021,6,22,21,1,10,2.9
545,1012,2021,7,22,21,1,8,6.0
546,1012,2021,8,22,22,0,0,0.2
547,1012,2021,9,22,21,1,5,6.5
548,1012,2021,10,21,19,2,8,11.6
549,1012,2021,11,22,20,2,3,7.9
550,1012,2021,12,23,22,1,8,3.2
551,1012,2022,1,21,21,0,10,8.2
552,1012,2022,2,20,18,2,4,5.9
553,1012,2022,3,23,21,2,6,2.7
554,1012,2022,4,21,20,1,6,10.4
555,1012,2022,5,22,20,2,9,1.9
556,1012,2022,6,22,22,0,8,5.9
557,1012,2022,7,21,19,2,1,7.3
558,1012,2022,8,23,22,1,6,0.1
559,1012,2022,9,22,20,2,1,11.8
560,1012,2022,10,21,21,0,6,7.8
561,1012,2022,11,22,21,1,3,3.0
562,1012,2022,12,22,22,0,3,10.1
563,1012,2023,1,22,20,2,6,10.8
564,1012,2023,2,20,18,2,1,2.5
565,1012,2023,3,23,22,1,6,4.9
566,1012,2023,4,20,19,1,0,5.3
567,1012,2023,5,23,23,0,3,11.4
568,1012,2023,6,22,22,0,6,9.7
569,1012,2023,7,21,21,0,3,8.0
570,1012,2023,8,23,21,2,2,11.9
571,1012,2023,9,21,20,1,4,7.9
572,1012,2023,10,22,21,1,9,11.1
573,1012,2023,11,22,22,0,9,7.6
574,1012,2023,12,21,19,2,5,0.7
575,1012,2024,1,23,22,1,6,3.4
576,1012,2024,2,21,21,0,9,11.9
577,1012,2024,3,21,21,0,9,1.9
578,1012,2024,4,22,22,0,3,9.5
579,1012,2024,5,23,21,2,10,6.6
580,1012,2024,6,20,18,2,4,1.4
581,1012,2024,7,23,21,2,7,4.1
582,1012,2024,8,22,20,2,10,4.1
583,1012,2024,9,21,21,0,4,6.2
584,1012,2024,10,23,22,1,1,3.7
585,1012,2024,11,21,19,2,6,2.3
586,1012,2024,12,22,20,2,4,10.7
587,1013,2020,1,23,23,0,6,8.8
588,1013,2020,2,20,19,1,2,3.5
589,1013,2020,3,22,20,2,10,6.5
590,1013,2020,4,22,21,1,1,1.8
591,1013,2020,5,21,19,2,7,10.7
592,1013,2020,6,22,22,0,3,2.1
593,1013,2020,7,23,21,2,5,7.2
594,1013,2020,8,21,20,1,9,1.4
595,1013,2020,9,22,20,2,4,2.9
596,1013,2020,10,22,21,1,8,11.3
597,1013,2020,11,21,19,2,7,9.0
598,1013,2020,12,23,23,0,4,1.2
599,1013,2021,1,21,19,2,8,7.7
600,1013,2021,2,20,18,2,2,5.5
601,1013,2021,3,23,23,0,6,11.6
602,1013,2021,4,22,22,0,0,5.0
603,1013,2021,5,21,21,0,6,10.5
604,1013,2021,6,22,20,2,1,8.5
605,1013,2021,7,22,21,1,6,0.7
606,1013,2021,8,22,21,1,1,4.5
607,1013,2021,9,22,22,0,0,1.3
608,1013,2021,10,21,20,1,3,10.3
609,1013,2021,11,22,22,0,7,1.0
610,1013,2021,12,23,23,0,7,8.0
611,1013,2022,1,21,20,1,5,8.0
612,1013,2022,2,20,18,2,1,9.0
613,1013,2022,3,23,23,0,3,1.6
614,1013,2022,4,21,20,1,10,1.7
615,1013,2022,5,22,21,1,3,12.0
616,1013,2022,6,22,20,2,10,9.7
617,1013,2022,7,21,20,1,0,11.4
618,1013,2022,8,23,22,1,9,8.8
619,1013,2022,9,22,21,1,1,10.7
620,1013,2022,10,21,19,2,5,9.7
621,1013,2022,11,22,22,0,6,11.4
622,1013,2022,12,22,22,0,10,2.3
623,1013,2023,1,22,21,1,10,8.1
624,1013,2023,2,20,18,2,5,2.1
625,1013,2023,3,23,21,2,4,0.7
626,1013,2023,4,20,20,0,0,2.1
627,1013,2023,5,23,22,1,7,3.5
628,1013,2023,6,22,22,0,5,3.1
629,1013,2023,7,21,20,1,5,5.3
630,1013,2023,8,23,22,1,8,3.7
631,1013,2023,9,21,20,1,7,0.2
632,1013,2023,10,22,20,2,4,4.6
