history_id,employee_id,job_id,department_id,location_id,salary,start_date,end_date,change_reason
80,1031,35,20,15,98700,2017-04-17,2022-12-11,New Hire
81,1031,35,20,15,75600,2022-12-11,2024-01-11,Lateral Move
82,1031,35,20,15,100100,2024-01-11,,Lateral Move
83,1032,36,21,3,141500,2015-07-04,2020-01-07,New Hire
84,1032,35,21,3,87600,2020-01-07,2021-11-17,Performance Based
85,1032,35,21,3,77000,2021-11-17,2024-09-20,Performance Based
86,1032,37,21,3,144400,2024-09-20,,Manager Request
87,1033,31,14,6,65200,2015-11-09,2022-08-04,New Hire
88,1033,31,14,6,65700,2022-08-04,2024-08-10,Department Restructure
89,1033,31,14,6,77700,2024-08-10,,Department Restructure
90,1034,16,5,11,123900,2023-12-09,,New Hire
91,1035,50,29,13,64500,2023-06-01,,New Hire
92,1036,20,6,3,141300,2019-08-18,2022-09-24,New Hire
93,1036,18,6,3,65500,2022-09-24,2024-10-31,Lateral Move
94,1036,18,6,3,61100,2024-10-31,,New Hire
95,1037,49,28,14,90800,2017-07-04,2019-05-15,New Hire
96,1037,50,28,14,54200,2019-05-15,2022-07-10,Lateral Move
97,1037,50,28,14,53900,2022-07-10,,Performance Based
98,1038,21,7,7,166400,2024-09-14,,New Hire
99,1039,1,1,10,86900,2017-12-09,2024-08-09,New Hire
100,1039,5,1,10,240100,2024-08-09,,Performance Based
101,1040,27,11,12,157300,2020-09-29,2021-10-07,New Hire
102,1040,23,11,12,63400,2021-10-07,2024-08-08,Promotion
103,1040,23,11,12,55400,2024-08-08,,New Hire
104,1041,3,26,12,146400,2015-10-18,2018-10-04,New Hire
105,1041,46,26,12,94600,2018-10-04,2020-12-25,Department Restructure
106,1041,46,26,12,95200,2020-12-25,2022-11-12,Lateral Move
107,1041,46,26,12,108800,2022-11-12,,Department Restructure
108,1042,43,22,7,146300,2022-10-30,2024-07-27,New Hire
109,1042,44,22,7,240100,2024-07-27,,Lateral Move
110,1043,40,19,10,104200,2024-05-11,,New Hire
111,1044,29,15,5,65200,2023-11-30,,New Hire
112,1045,23,11,1,61400,2023-06-08,,New Hire
113,1046,49,28,4,78700,2022-01-27,2024-05-03,New Hire
114,1046,49,28,4,88600,2024-05-03,,Department Restructure
115,1047,49,29,15,88400,2017-06-19,2020-02-27,New Hire
116,1047,50,29,15,62900,2020-02-27,2022-12-03,Promotion
117,1047,49,29,15,72000,2022-12-03,,Department Restructure
118,1048,47,26,14,158400,2021-04-12,2024-04-19,New Hire
119,1048,2,26,14,127400,2024-04-19,,Department Restructure
120,1049,48,27,11,204000,2016-10-17,2018-12-12,New Hire
121,1049,47,27,11,135100,2018-12-12,2020-07-20,Performance Based
122,1049,47,27,11,165000,2020-07-20,,Performance Based
123,1050,32,16,15,66000,2019-12-11,2023-11-18,New Hire
124,1050,29,16,15,58100,2023-11-18,2024-12-18,Lateral Move
125,1050,29,16,15,71700,2024-12-18,,Performance Based
126,1051,19,8,7,105800,2022-12-07,2024-09-05,New Hire
127,1051,20,8,7,110300,2024-09-05,,Lateral Move
128,1052,49,29,13,90700,2023-08-06,,New Hire
129,1053,45,24,13,79600,2018-01-26,2023-05-11,New Hire
130,1053,45,24,13,88500,2023-05-11,2024-11-01,New Hire
131,1053,45,24,13,89000,2024-11-01,,Promotion
132,1054,29,15,11,74600,2020-12-31,2023-07-12,New Hire
133,1054,29,15,11,74000,2023-07-12,,Manager Request
134,1055,10,2,13,110200,2017-05-20,2019-09-01,New Hire
135,1055,8,2,13,88900,2019-09-01,2022-07-07,Department Restructure
136,1055,8,2,13,81600,2022-07-07,2023-09-02,Lateral Move
137,1055,9,2,13,109600,2023-09-02,,Performance Based
138,1056,46,27,2,108800,2023-05-31,,New Hire
139,1057,46,25,11,128000,2017-03-31,2019-01-05,New Hire
140,1057,47,25,11,145300,2019-01-05,2020-02-06,Promotion
141,1057,48,25,11,179700,2020-02-06,2022-11-12,New Hire
142,1057,47,25,11,172600,2022-11-12,,Lateral Move
143,1058,45,23,14,88000,2016-11-22,2023-12-17,New Hire
144,1058,45,23,14,65500,2023-12-17,2024-12-19,New Hire
145,1058,45,23,14,94900,2024-12-19,,New Hire
146,1059,39,19,2,83200,2021-06-20,2022-12-09,New Hire
147,1059,39,19,2,72100,2022-12-09,,Performance Based
148,1060,15,4,6,138300,2021-09-29,2024-11-13,New Hire
149,1060,15,4,6,119700,2024-11-13,,Manager Request
150,1061,14,3,15,90500,2019-09-21,2020-11-24,New Hire
151,1061,14,3,15,108500,2020-11-24,2024-10-12,Manager Request
152,1061,14,3,15,122000,2024-10-12,,Lateral Move
153,1062,29,14,8,69700,2022-04-22,2024-03-26,New Hire
154,1062,30,14,8,103500,2024-03-26,,Manager Request
155,1063,19,9,10,110600,2024-04-29,,New Hire
156,1064,4,1,15,212500,2017-01-18,2019-10-07,New Hire
157,1064,1,1,15,77000,2019-10-07,2024-12-27,Department Restructure
158,1064,4,1,15,187300,2024-12-27,,Department Restructure
159,1065,5,1,12,275800,2015-12-21,2024-05-12,New Hire
160,1065,2,1,12,106100,2024-05-12,,New Hire
161,1066,29,15,8,56900,2017-06-30,2022-12-21,New Hire
162,1066,29,15,8,62500,2022-12-21,2024-05-07,Promotion
163,1066,30,15,8,116800,2024-05-07,,Promotion
164,1067,45,24,6,75600,2020-02-06,2024-02-02,New Hire
165,1067,45,24,6,68100,2024-02-02,,Lateral Move
166,1068,45,23,10,70700,2023-04-18,,New Hire
167,1069,20,7,1,119100,2017-01-08,2024-02-04,New Hire
168,1069,20,7,1,135600,2024-02-04,,New Hire
169,1070,36,21,1,105100,2015-02-24,2021-06-12,New Hire
170,1070,35,21,1,96900,2021-06-12,2023-02-26,New Hire
171,1070,35,21,1,70700,2023-02-26,2024-12-17,Department Restructure
172,1070,37,21,1,152600,2024-12-17,,New Hire
173,1071,46,27,10,106000,2015-11-04,2018-09-14,New Hire
174,1071,48,27,10,231600,2018-09-14,2023-11-10,Department Restructure
175,1071,48,27,10,201400,2023-11-10,2024-12-23,Department Restructure
176,1071,48,27,10,211500,2024-12-23,,New Hire
177,1072,15,4,8,127300,2023-11-17,,New Hire
178,1073,23,10,2,57200,2023-04-24,,New Hire
179,1074,14,3,12,90100,2020-01-24,2024-09-21,New Hire
180,1074,14,3,12,125900,2024-09-21,,Manager Request
181,1075,42,22,7,73100,2023-11-05,,New Hire
182,1076,17,5,10,186300,2015-10-24,2021-02-13,New Hire
183,1076,16,5,10,114300,2021-02-13,2024-06-18,Department Restructure
184,1076,17,5,10,186900,2024-06-18,,New Hire
185,1077,30,15,15,114500,2018-01-24,2022-12-09,New Hire
186,1077,29,15,15,70300,2022-12-09,2024-02-01,Performance Based
187,1077,30,15,15,99500,2024-02-01,,Performance Based
188,1078,18,9,11,62300,2022-07-28,2024-05-31,New Hire
189,1078,45,9,11,93500,2024-05-31,,New Hire
190,1079,46,25,14,108800,2022-04-26,,New Hire
191,1080,24,12,11,80000,2022-07-11,,New Hire
192,1081,11,2,14,134000,2017-11-03,2023-07-31,New Hire
193,1081,8,2,14,88300,2023-07-31,2024-12-06,Performance Based
194,1081,11,2,14,171900,2024-12-06,,Manager Request
195,1082,37,18,13,138600,2017-02-11,2024-02-05,New Hire
196,1082,38,18,13,207500,2024-02-05,,Lateral Move
197,1083,17,5,4,166900,2022-11-04,2024-11-14,New Hire
198,1083,17,5,4,186900,2024-11-14,,Manager Request
199,1084,5,1,3,232600,2017-07-13,2019-08-05,New Hire
200,1084,5,1,3,243300,2019-08-05,2022-11-05,Department Restructure
201,1084,1,1,3,82200,2022-11-05,,New Hire
202,1085,30,17,15,104500,2020-06-03,2024-12-17,New Hire
203,1085,30,17,15,96100,2024-12-17,,Manager Request
204,1086,16,5,14,122400,2023-11-14,,New Hire
205,1087,48,27,9,212700,2022-05-31,,New Hire
206,1088,50,30,1,62400,2022-10-31,2024-07-26,New Hire
207,1088,49,30,1,71100,2024-07-26,,Manager Request
208,1089,50,30,9,52700,2022-06-15,,New Hire
209,1090,15,4,3,104500,2020-02-19,2024-07-19,New Hire
210,1090,15,4,3,110400,2024-07-19,,New Hire
211,1091,37,20,6,149200,2024-07-24,,New Hire
212,1092,49,28,2,83500,2017-08-23,2022-11-06,New Hire
213,1092,50,28,2,49800,2022-11-06,2024-12-21,Promotion
214,1092,49,28,2,69800,2024-12-21,,Lateral Move
215,1093,37,21,13,159300,2019-12-27,2024-04-08,New Hire
216,1093,37,21,13,158700,2024-04-08,,New Hire
217,1094,29,14,10,59900,2019-08-19,2020-10-10,New Hire
218,1094,30,14,10,107800,2020-10-10,2022-08-26,New Hire
219,1094,29,14,10,63600,2022-08-26,,Department Restructure
220,1095,19,8,1,112400,2016-08-13,2018-10-06,New Hire
221,1095,18,8,1,78800,2018-10-06,2021-02-22,Manager Request
222,1095,19,8,1,108800,2021-02-22,2022-04-05,Performance Based
223,1095,20,8,1,110300,2022-04-05,2023-11-21,Performance Based
224,1095,18,8,1,77000,2023-11-21,,Manager Request
225,1096,24,10,8,72200,2018-11-20,2023-02-27,New Hire
226,1096,25,10,8,109900,2023-02-27,2024-06-15,Performance Based
227,1096,26,10,8,73900,2024-06-15,,Department Restructure
228,1097,50,28,1,47100,2019-04-16,2023-10-01,New Hire
229,1097,50,28,1,47300,2023-10-01,2024-12-18,Promotion
230,1097,50,28,1,54300,2024-12-18,,Lateral Move
231,1098,18,9,8,74100,2022-09-14,2024-04-26,New Hire
232,1098,19,9,8,89400,2024-04-26,,Lateral Move
233,1099,3,26,12,157300,2018-12-18,2020-07-13,New Hire
234,1099,46,26,12,118000,2020-07-13,2022-05-13,Manager Request
235,1099,47,26,12,153500,2022-05-13,2024-02-10,New Hire
236,1099,46,26,12,115700,2024-02-10,,Manager Request
237,1100,16,5,12,150700,2022-04-05,2023-07-22,New Hire
238,1100,16,5,12,125600,2023-07-22,,Promotion
239,1101,45,24,15,70300,2016-06-29,2023-02-27,New Hire
240,1101,45,24,15,79500,2023-02-27,2024-11-04,Department Restructure
241,1101,45,24,15,93100,2024-11-04,,Promotion
242,1102,50,30,13,64300,2018-04-27,,New Hire
243,1103,43,22,9,178400,2024-01-13,,New Hire
244,1104,45,24,10,82500,2024-03-26,,New Hire
245,1105,49,30,2,84400,2022-02-19,2023-08-21,New Hire
246,1105,50,30,2,57300,2023-08-21,,Department Restructure
247,1106,29,16,12,56900,2021-01-14,2024-05-26,New Hire
248,1106,32,16,12,72200,2024-05-26,,Lateral Move
249,1107,45,24,1,91600,2022-05-10,2023-08-08,New Hire
250,1107,45,24,1,85500,2023-08-08,,Manager Request
251,1108,29,15,1,72100,2016-02-15,2023-08-15,New Hire
252,1108,29,15,1,64300,2023-08-15,2024-09-15,Department Restructure
253,1108,30,15,1,122400,2024-09-15,,Lateral Move
254,1109,50,28,6,46800,2017-05-22,2021-10-23,New Hire
255,1109,49,28,6,77800,2021-10-23,2023-12-29,Manager Request
256,1109,49,28,6,76100,2023-12-29,,Promotion
257,1110,39,19,6,61700,2023-08-05,,New Hire
258,1111,18,9,1,84700,2021-01-25,,New Hire
259,1112,23,11,8,48500,2015-08-07,2023-02-20,New Hire
260,1112,27,11,8,152900,2023-02-20,2024-04-20,Manager Request
261,1112,23,11,8,62100,2024-04-20,,Performance Based
262,1113,39,19,9,71300,2017-06-30,2021-03-20,New Hire
263,1113,40,19,9,110300,2021-03-20,2024-08-30,Manager Request
264,1113,39,19,9,63000,2024-08-30,,Performance Based
265,1114,11,2,15,168100,2019-10-17,2020-11-08,New Hire
266,1114,11,2,15,164500,2020-11-08,2022-09-16,Performance Based
267,1114,12,2,15,111500,2022-09-16,,Manager Request
268,1115,14,3,9,101000,2022-02-10,2023-04-04,New Hire
269,1115,14,3,9,99900,2023-04-04,,Department Restructure
270,1116,29,14,14,70900,2016-04-17,2018-11-29,New Hire
271,1116,31,14,14,89700,2018-11-29,2023-02-27,Promotion
272,1116,29,14,14,68300,2023-02-27,2024-09-28,Performance Based
273,1116,29,14,14,66400,2024-09-28,,Promotion
274,1117,19,8,11,95200,2020-02-05,2021-08-20,New Hire
275,1117,20,8,11,122400,2021-08-20,2024-01-03,Lateral Move
276,1117,18,8,11,84100,2024-01-03,,Lateral Move
277,1118,50,30,13,46300,2024-05-03,,New Hire
278,1119,38,18,14,233000,2016-05-19,2024-03-19,New Hire
279,1119,36,18,14,101000,2024-03-19,,Lateral Move
280,1120,36,20,2,117600,2021-06-29,2023-06-14,New Hire
281,1120,35,20,2,87500,2023-06-14,,Promotion
282,1121,15,4,1,125800,2024-01-24,,New Hire
283,1122,45,23,3,65900,2018-01-28,2019-12-17,New Hire
284,1122,45,23,3,82200,2019-12-17,2022-10-22,Department Restructure
285,1122,45,23,3,74500,2022-10-22,2024-06-01,Lateral Move
286,1122,45,23,3,66400,2024-06-01,,Performance Based
287,1123,23,13,8,47800,2022-02-10,2024-09-24,New Hire
288,1123,27,13,8,172300,2024-09-24,,Performance Based
289,1124,45,24,10,88300,2021-05-17,2024-10-09,New Hire
290,1124,45,24,10,84900,2024-10-09,,Lateral Move
291,1125,30,15,7,107000,2019-12-20,2022-04-20,New Hire
292,1125,30,15,7,118100,2022-04-20,2024-07-28,Department Restructure
293,1125,30,15,7,95400,2024-07-28,,Manager Request
294,1126,40,19,4,108400,2018-06-21,2023-04-22,New Hire
295,1126,39,19,4,67700,2023-04-22,2024-05-12,New Hire
296,1126,41,19,4,290400,2024-05-12,,New Hire
297,1127,17,5,9,159500,2016-05-10,2018-01-06,New Hire
298,1127,16,5,9,127000,2018-01-06,2019-11-30,Promotion
299,1127,17,5,9,182100,2019-11-30,2024-01-30,Department Restructure
300,1127,16,5,9,153000,2024-01-30,,New Hire
301,1128,48,27,2,227400,2015-10-27,,New Hire
302,1129,40,19,13,114800,2019-09-11,2023-10-12,New Hire
303,1129,39,19,13,61900,2023-10-12,2024-11-01,Promotion
304,1129,40,19,13,103000,2024-11-01,,Promotion
305,1130,45,23,7,67600,2024-06-25,,New Hire
306,1131,19,8,13,108400,2015-11-13,2019-07-22,New Hire
307,1131,20,8,13,111600,2019-07-22,2023-03-04,Performance Based
308,1131,20,8,13,126100,2023-03-04,2024-09-01,Lateral Move
309,1131,18,8,13,60900,2024-09-01,,Department Restructure
310,1132,35,21,11,79500,2016-08-26,2019-04-30,New Hire
311,1132,37,21,11,163900,2019-04-30,2024-08-22,Department Restructure
312,1132,35,21,11,98600,2024-08-22,,Manager Request
313,1133,30,16,11,116400,2023-07-14,,New Hire
314,1134,36,21,1,107500,2015-10-11,2019-10-18,New Hire
315,1134,37,21,1,129100,2019-10-18,2024-01-17,Department Restructure
316,1134,37,21,1,161400,2024-01-17,,Manager Request
317,1135,30,15,2,91300,2019-02-23,2023-06-12,New Hire
318,1135,29,15,2,68400,2023-06-12,2024-08-05,Department Restructure
319,1135,29,15,2,65000,2024-08-05,,New Hire
320,1136,29,15,3,64000,2024-02-04,,New Hire
321,1137,46,26,8,129300,2015-12-16,2019-01-08,New Hire
322,1137,2,26,8,105500,2019-01-08,2020-03-09,Promotion
323,1137,2,26,8,98800,2020-03-09,2021-10-18,Performance Based
324,1137,47,26,8,144000,2021-10-18,2024-12-10,Performance Based
325,1137,2,26,8,117600,2024-12-10,,Manager Request
326,1138,24,12,11,97500,2019-05-10,2021-08-16,New Hire
327,1138,25,12,11,124500,2021-08-16,2022-09-19,Promotion
328,1138,25,12,11,95600,2022-09-19,,Lateral Move
329,1139,15,4,6,112800,2023-02-16,,New Hire
330,1140,50,30,2,51200,2022-05-15,2024-04-26,New Hire
331,1140,50,30,2,46300,2024-04-26,,New Hire
332,1141,46,26,11,122500,2022-07-11,2023-10-17,New Hire
333,1141,46,26,11,114900,2023-10-17,,Department Restructure
334,1142,24,12,3,75400,2017-05-31,2023-03-07,New Hire
335,1142,23,12,3,63500,2023-03-07,,Lateral Move
336,1143,48,25,10,229300,2020-11-30,2021-12-09,New Hire
337,1143,48,25,10,204400,2021-12-09,2024-09-16,New Hire
338,1143,48,25,10,224400,2024-09-16,,Promotion
339,1144,48,27,11,225100,2024-01-31,,New Hire
340,1145,26,10,4,67000,2017-09-10,2020-09-09,New Hire
341,1145,24,10,4,79100,2020-09-09,2024-06-25,Lateral Move
342,1145,26,10,4,80600,2024-06-25,,Manager Request
343,1146,30,15,10,117200,2020-08-25,2024-02-03,New Hire
344,1146,29,15,10,64500,2024-02-03,,Performance Based
345,1147,36,21,2,143700,2021-03-25,2023-06-29,New Hire
346,1147,37,21,2,161200,2023-06-29,,New Hire
347,1148,49,29,1,89900,2016-01-15,2018-07-11,New Hire
348,1148,50,29,1,56100,2018-07-11,2019-08-09,Manager Request
349,1148,49,29,1,83400,2019-08-09,2023-01-14,Performance Based
350,1148,50,29,1,47000,2023-01-14,2024-03-31,Manager Request
351,1148,50,29,1,57500,2024-03-31,,Promotion
352,1149,23,12,12,52700,2015-12-05,2024-04-11,New Hire
353,1149,24,12,12,84600,2024-04-11,,Performance Based
354,1150,10,2,15,131700,2020-04-23,2022-04-21,New Hire
355,1150,11,2,15,154600,2022-04-21,2023-05-05,Lateral Move
356,1150,10,2,15,120100,2023-05-05,,New Hire
357,1151,46,27,5,112000,2023-03-02,,New Hire
358,1152,37,21,10,140600,2016-04-03,2018-05-28,New Hire
359,1152,35,21,10,106200,2018-05-28,2021-05-23,Performance Based
360,1152,37,21,10,121800,2021-05-23,2022-11-30,Lateral Move
361,1152,37,21,10,153000,2022-11-30,,Performance Based
362,1153,29,14,6,67300,2017-09-16,2021-02-09,New Hire
363,1153,30,14,6,92600,2021-02-09,2023-07-09,Department Restructure
364,1153,30,14,6,94200,2023-07-09,2024-12-02,Manager Request
365,1153,31,14,6,67500,2024-12-02,,Manager Request
366,1154,29,17,1,62800,2020-04-13,2023-02-23,New Hire
367,1154,29,17,1,70900,2023-02-23,2024-09-30,Manager Request
368,1154,30,17,1,113500,2024-09-30,,Manager Request
369,1155,20,8,6,136300,2016-03-04,2017-04-27,New Hire
370,1155,19,8,6,107700,2017-04-27,2022-06-21,Manager Request
371,1155,19,8,6,100600,2022-06-21,2024-06-30,Manager Request
372,1155,20,8,6,123600,2024-06-30,,Promotion
373,1156,48,27,13,205200,2022-10-23,2023-11-04,New Hire
374,1156,48,27,13,183600,2023-11-04,,Performance Based
375,1157,18,7,8,79800,2015-06-25,2018-10-26,New Hire
376,1157,20,7,8,133600,2018-10-26,2019-12-23,Manager Request
377,1157,18,7,8,61400,2019-12-23,2021-05-29,Manager Request
378,1157,18,7,8,81800,2021-05-29,,Performance Based
379,1158,20,7,7,124300,2023-10-08,,New Hire
380,1159,50,29,5,51800,2017-02-08,2021-12-27,New Hire
381,1159,50,29,5,47400,2021-12-27,2023-05-13,Department Restructure
382,1159,50,29,5,64400,2023-05-13,2024-06-11,Promotion
383,1159,49,29,5,84300,2024-06-11,,Department Restructure
384,1160,14,3,11,114100,2024-03-26,,New Hire
385,1161,45,23,10,70000,2019-12-28,2022-11-19,New Hire
386,1161,45,23,10,83400,2022-11-19,2024-06-29,Promotion
387,1161,45,23,10,77900,2024-06-29,,Manager Request
388,1162,2,26,1,93000,2022-02-28,2024-06-15,New Hire
389,1162,2,26,1,118500,2024-06-15,,Lateral Move
390,1163,47,26,10,126700,2015-10-07,2022-08-15,New Hire
391,1163,46,26,10,118600,2022-08-15,2024-06-05,Manager Request
392,1163,47,26,10,173300,2024-06-05,,Performance Based
393,1164,30,15,11,103000,2023-07-27,,New Hire
394,1165,45,24,8,80000,2019-05-09,2022-11-25,New Hire
395,1165,45,24,8,67700,2022-11-25,2024-09-22,New Hire
396,1165,45,24,8,79600,2024-09-22,,Performance Based
397,1166,45,23,2,71000,2016-07-13,2024-12-19,New Hire
398,1166,45,23,2,91700,2024-12-19,,New Hire
399,1167,25,12,11,97300,2021-02-02,,New Hire
400,1168,18,8,10,84600,2023-11-23,,New Hire
401,1169,34,20,14,46300,2019-06-23,2020-10-07,New Hire
402,1169,34,20,14,46800,2020-10-07,2023-08-08,Manager Request
403,1169,34,20,14,53900,2023-08-08,,Promotion
404,1170,35,21,11,88000,2022-08-21,2024-06-18,New Hire
405,1170,35,21,11,90800,2024-06-18,,Manager Request
406,1171,31,14,6,87800,2015-08-19,2020-08-20,New Hire
407,1171,29,14,6,67100,2020-08-20,2022-05-30,New Hire
408,1171,30,14,6,117700,2022-05-30,2023-10-14,Department Restructure
409,1171,30,14,6,112600,2023-10-14,2024-10-19,Manager Request
410,1171,31,14,6,67700,2024-10-19,,Department Restructure
411,1172,30,17,5,119600,2017-10-27,2021-09-10,New Hire
412,1172,30,17,5,99800,2021-09-10,2024-02-16,Lateral Move
413,1172,29,17,5,56300,2024-02-16,,New Hire
414,1173,35,21,6,93700,2021-07-10,2023-10-10,New Hire
415,1173,35,21,6,72000,2023-10-10,,New Hire
416,1174,46,27,7,93200,2022-03-16,2024-09-22,New Hire
417,1174,47,27,7,157100,2024-09-22,,Department Restructure
418,1175,50,29,8,57800,2018-05-26,2024-03-09,New Hire
419,1175,49,29,8,94700,2024-03-09,,New Hire
420,1176,30,15,12,106900,2017-04-19,2020-01-28,New Hire
421,1176,30,15,12,117100,2020-01-28,2024-02-02,New Hire
422,1176,30,15,12,107000,2024-02-02,,Performance Based
423,1177,17,5,3,170700,2016-03-14,2021-10-12,New Hire
424,1177,17,5,3,161900,2021-10-12,2024-02-01,Lateral Move
425,1177,17,5,3,167600,2024-02-01,,New Hire
426,1178,50,28,6,50000,2024-09-18,,New Hire
427,1179,30,17,4,107500,2018-06-21,2023-07-27,New Hire
428,1179,30,17,4,118600,2023-07-27,2024-08-08,Department Restructure
429,1179,29,17,4,57400,2024-08-08,,Promotion
430,1180,10,2,2,114800,2024-06-18,,New Hire
431,1181,24,12,2,81000,2019-07-03,2022-01-07,New Hire
432,1181,25,12,2,97100,2022-01-07,2024-03-31,Manager Request
433,1181,24,12,2,99000,2024-03-31,,Department Restructure
434,1182,36,18,6,141300,2021-12-31,2024-10-17,New Hire
435,1182,34,18,6,59500,2024-10-17,,New Hire
436,1183,23,12,6,49000,2020-09-20,2024-12-18,New Hire
437,1183,25,12,6,99900,2024-12-18,,Performance Based
438,1184,16,5,5,124800,2021-11-20,2022-12-19,New Hire
439,1184,16,5,5,145900,2022-12-19,,Lateral Move
440,1185,30,17,7,114800,2018-05-16,2022-05-29,New Hire
441,1185,29,17,7,63800,2022-05-29,,New Hire
442,1186,45,23,10,82900,2017-12-27,2023-04-27,New Hire
443,1186,45,23,10,86400,2023-04-27,2024-12-18,Promotion
444,1186,45,23,10,69600,2024-12-18,,Department Restructure
445,1187,45,24,1,69400,2022-08-24,2024-07-15,New Hire
446,1187,45,24,1,77600,2024-07-15,,Manager Request
447,1188,31,14,12,70100,2020-08-21,2024-10-23,New Hire
448,1188,31,14,12,86200,2024-10-23,,Department Restructure
