training_id,employee_id,course_name,course_category,completion_date,score,passed
129,1008,Leadership Fundamentals,Leadership,2023-07-03,59.0,No
130,1008,Supply Chain Management,Operations,2018-10-29,84.9,Yes
131,1008,Advanced Excel,Technical,2017-07-02,85.9,Yes
132,1008,Cloud Computing Essentials,Technical,2020-02-11,83.4,Yes
133,1008,Risk & Compliance Fundamentals,Compliance,2020-03-08,77.8,Yes
134,1008,Business Writing,Soft Skills,2015-07-04,87.2,Yes
135,1008,Python for Data Analysis,Technical,2020-01-27,76.1,Yes
136,1008,Power BI Fundamentals,Technical,2023-08-13,90.6,Yes
137,1008,Financial Modeling,Finance,2021-10-24,75.4,Yes
138,1008,Business Writing,Soft Skills,2020-07-04,75.3,Yes
139,1008,Data Privacy & GDPR,Compliance,2018-03-03,76.8,Yes
140,1008,Unconscious Bias Training,DEI,2022-02-10,62.4,No
141,1008,Financial Modeling,Finance,2016-10-11,61.8,No
142,1008,Cybersecurity Awareness,Security,2024-07-07,84.5,Yes
143,1008,Workplace Harassment Prevention,Compliance,2021-04-04,87.9,Yes
144,1008,Change Management,Management,2023-05-29,94.7,Yes
145,1008,Advanced Excel,Technical,2022-12-16,72.7,Yes
146,1008,Risk & Compliance Fundamentals,Compliance,2024-09-07,78.7,Yes
147,1008,Cloud Computing Essentials,Technical,2021-09-27,79.4,Yes
148,1008,Data Privacy & GDPR,Compliance,2021-04-24,88.1,Yes
149,1009,Data Privacy & GDPR,Compliance,2022-07-14,68.9,No
150,1009,Project Management Professional,Management,2023-01-25,85.6,Yes
151,1009,Cybersecurity Awareness,Security,2022-07-18,62.6,No
152,1009,Negotiation Skills,Soft Skills,2023-12-02,70.9,Yes
153,1009,Risk & Compliance Fundamentals,Compliance,2022-12-21,70.4,Yes
154,1009,Diversity & Inclusion,DEI,2024-02-02,79.6,Yes
155,1009,Presentation Skills,Soft Skills,2024-02-21,100.0,Yes
156,1009,Unconscious Bias Training,DEI,2023-12-06,76.6,Yes
157,1009,Data Privacy & GDPR,Compliance,2022-12-12,67.6,No
158,1009,Python for Data Analysis,Technical,2023-10-29,99.7,Yes
159,1010,Diversity & Inclusion,DEI,2017-12-28,68.7,No
160,1010,Business Writing,Soft Skills,2023-07-11,71.6,Yes
161,1010,Change Management,Management,2021-02-06,78.6,Yes
162,1010,Leadership Fundamentals,Leadership,2022-01-16,70.7,Yes
163,1010,Unconscious Bias Training,DEI,2016-10-17,56.0,No
164,1010,Strategic Thinking,Leadership,2021-07-10,75.5,Yes
165,1010,Workplace Harassment Prevention,Compliance,2020-03-13,88.0,Yes
166,1010,Data Privacy & GDPR,Compliance,2024-04-30,89.4,Yes
167,1010,Power BI Fundamentals,Technical,2023-05-31,80.1,Yes
168,1010,Leadership Fundamentals,Leadership,2022-11-16,84.0,Yes
169,1010,Presentation Skills,Soft Skills,2017-11-01,76.1,Yes
170,1010,Cybersecurity Awareness,Security,2021-07-05,55.1,No
171,1010,Supply Chain Management,Operations,2019-09-13,68.3,No
172,1010,Strategic Thinking,Leadership,2020-02-18,66.3,No
173,1010,Change Management,Management,2019-06-12,86.0,Yes
174,1010,Cybersecurity Awareness,Security,2020-02-29,98.3,Yes
175,1010,Diversity & Inclusion,DEI,2024-05-28,74.0,Yes
176,1010,Python for Data Analysis,Technical,2024-10-17,91.4,Yes
177,1010,Supply Chain Management,Operations,2017-08-02,89.8,Yes
178,1010,Effective Communication,Soft Skills,2020-01-24,71.6,Yes
179,1010,Negotiation Skills,Soft Skills,2022-11-01,86.9,Yes
180,1010,Cybersecurity Awareness,Security,2018-03-05,65.0,No
181,1010,Cloud Computing Essentials,Technical,2019-07-14,90.1,Yes
182,1010,Workplace Harassment Prevention,Compliance,2021-02-22,84.3,Yes
183,1010,Diversity & Inclusion,DEI,2023-07-08,91.0,Yes
184,1010,Agile & Scrum Fundamentals,Technical,2021-01-09,62.7,No
185,1010,Diversity & Inclusion,DEI,2024-05-29,69.6,No
186,1010,Change Management,Management,2024-08-08,86.5,Yes
187,1011,Supply Chain Management,Operations,2023-09-02,76.5,Yes
188,1011,Diversity & Inclusion,DEI,2022-07-01,68.7,No
189,1011,Power BI Fundamentals,Technical,2024-04-25,67.9,No
190,1011,Advanced Excel,Technical,2023-05-20,52.9,No
191,1011,Machine Learning Basics,Technical,2022-09-15,65.1,No
192,1011,Project Management Professional,Management,2024-04-14,84.8,Yes
193,1011,Effective Communication,Soft Skills,2023-04-16,73.2,Yes
194,1011,SQL for Analysts,Technical,2022-03-02,67.7,No
195,1011,Agile & Scrum Fundamentals,Technical,2023-01-13,67.7,No
196,1011,Machine Learning Basics,Technical,2023-05-30,61.1,No
197,1011,Risk & Compliance Fundamentals,Compliance,2024-12-02,81.7,Yes
198,1011,Diversity & Inclusion,DEI,2023-11-26,78.7,Yes
199,1012,Machine Learning Basics,Technical,2023-10-20,72.7,Yes
200,1012,Business Writing,Soft Skills,2018-12-19,50.1,No
201,1012,Customer Service Excellence,Customer Success,2023-10-19,74.8,Yes
202,1012,Supply Chain Management,Operations,2021-11-14,64.9,No
203,1012,Effective Communication,Soft Skills,2019-04-08,76.1,Yes
204,1012,Leadership Fundamentals,Leadership,2020-10-30,90.8,Yes
205,1012,Business Writing,Soft Skills,2023-06-11,81.2,Yes
206,1012,Workplace Harassment Prevention,Compliance,2022-08-14,75.7,Yes
207,1012,Business Writing,Soft Skills,2019-07-21,85.3,Yes
208,1012,Risk & Compliance Fundamentals,Compliance,2023-02-15,79.6,Yes
209,1012,Change Management,Management,2023-09-08,66.5,No
210,1012,Effective Communication,Soft Skills,2022-09-27,100.0,Yes
211,1012,SQL for Analysts,Technical,2024-01-06,76.6,Yes
212,1012,Strategic Thinking,Leadership,2020-01-01,78.0,Yes
213,1012,Machine Learning Basics,Technical,2023-06-01,89.8,Yes
214,1012,Data Privacy & GDPR,Compliance,2023-09-04,68.8,No
215,1012,Agile & Scrum Fundamentals,Technical,2021-05-05,69.5,No
216,1012,Strategic Thinking,Leadership,2024-12-15,86.5,Yes
217,1012,Supply Chain Management,Operations,2020-03-12,86.1,Yes
218,1012,Strategic Thinking,Leadership,2022-08-19,86.9,Yes
219,1012,Change Management,Management,2020-08-20,73.5,Yes
220,1013,Project Management Professional,Management,2024-01-07,58.2,No
221,1013,Risk & Compliance Fundamentals,Compliance,2022-03-04,58.0,No
222,1013,Supply Chain Management,Operations,2016-12-14,85.8,Yes
223,1013,Supply Chain Management,Operations,2016-10-26,86.8,Yes
224,1013,Power BI Fundamentals,Technical,2016-07-15,79.9,Yes
225,1013,SQL for Analysts,Technical,2021-08-15,82.5,Yes
226,1013,Data Privacy & GDPR,Compliance,2019-05-21,70.3,Yes
227,1013,Python for Data Analysis,Technical,2016-09-19,84.3,Yes
228,1013,Supply Chain Management,Operations,2018-12-02,88.4,Yes
229,1013,Manager Effectiveness,Leadership,2019-04-12,90.4,Yes
230,1013,Financial Modeling,Finance,2018-09-09,99.7,Yes
231,1013,Cybersecurity Awareness,Security,2021-04-24,80.5,Yes
232,1013,Diversity & Inclusion,DEI,2022-01-20,72.2,Yes
233,1013,Workplace Harassment Prevention,Compliance,2024-09-23,72.3,Yes
234,1013,Business Writing,Soft Skills,2017-08-24,85.2,Yes
235,1013,Cloud Computing Essentials,Technical,2021-05-04,84.7,Yes
236,1013,Supply Chain Management,Operations,2021-03-23,77.8,Yes
237,1013,Effective Communication,Soft Skills,2021-01-01,84.4,Yes
238,1013,Advanced Excel,Technical,2018-11-23,78.7,Yes
239,1013,Unconscious Bias Training,DEI,2024-11-17,75.1,Yes
240,1013,Customer Service Excellence,Customer Success,2020-05-15,79.5,Yes
241,1013,Negotiation Skills,Soft Skills,2022-09-03,91.9,Yes
242,1013,Strategic Thinking,Leadership,2024-02-29,75.9,Yes
243,1013,Project Management Professional,Management,2019-09-21,65.4,No
244,1013,Data Privacy & GDPR,Compliance,2023-09-30,62.4,No
245,1013,SQL for Analysts,Technical,2021-12-02,90.8,Yes
246,1013,Diversity & Inclusion,DEI,2022-05-17,73.9,Yes
247,1013,Customer Service Excellence,Customer Success,2024-03-25,77.9,Yes
248,1014,Effective Communication,Soft Skills,2022-05-27,87.2,Yes
249,1014,Change Management,Management,2022-01-16,82.4,Yes
250,1014,Machine Learning Basics,Technical,2024-06-10,77.1,Yes
251,1014,Cybersecurity Awareness,Security,2024-03-16,91.7,Yes
252,1014,Negotiation Skills,Soft Skills,2024-01-21,87.6,Yes
253,1014,Supply Chain Management,Operations,2024-06-02,70.6,Yes
254,1014,Leadership Fundamentals,Leadership,2023-03-25,76.8,Yes
255,1014,Negotiation Skills,Soft Skills,2024-11-13,77.6,Yes
256,1014,Customer Service Excellence,Customer Success,2024-01-31,65.2,No
257,1014,Effective Communication,Soft Skills,2023-12-11,87.7,Yes
258,1015,Financial Modeling,Finance,2021-02-27,67.2,No
259,1015,Presentation Skills,Soft Skills,2017-06-14,92.4,Yes
260,1015,Effective Communication,Soft Skills,2016-07-27,59.4,No
261,1015,Effective Communication,Soft Skills,2022-10-29,92.3,Yes
262,1015,Cybersecurity Awareness,Security,2022-02-14,80.6,Yes
263,1015,Diversity & Inclusion,DEI,2020-09-30,66.7,No
264,1015,SQL for Analysts,Technical,2020-10-19,78.1,Yes
265,1015,Change Management,Management,2018-03-28,98.5,Yes
266,1015,Financial Modeling,Finance,2020-12-10,85.8,Yes
267,1015,Risk & Compliance Fundamentals,Compliance,2018-09-13,85.3,Yes
268,1015,Cybersecurity Awareness,Security,2016-12-17,76.4,Yes
269,1015,Project Management Professional,Management,2016-08-11,90.9,Yes
270,1015,Change Management,Management,2016-11-19,99.2,Yes
271,1015,Leadership Fundamentals,Leadership,2024-10-21,64.8,No
272,1015,Customer Service Excellence,Customer Success,2023-11-29,72.7,Yes
273,1015,Advanced Excel,Technical,2021-10-23,81.0,Yes
274,1015,Machine Learning Basics,Technical,2016-05-30,87.2,Yes
275,1015,Supply Chain Management,Operations,2024-06-30,64.7,No
276,1015,Change Management,Management,2023-11-03,81.0,Yes
277,1015,Cybersecurity Awareness,Security,2020-05-12,83.5,Yes
278,1015,Workplace Harassment Prevention,Compliance,2018-06-16,68.3,No
279,1015,Workplace Harassment Prevention,Compliance,2019-07-12,65.3,No
280,1015,Presentation Skills,Soft Skills,2020-06-08,69.7,No
281,1015,Risk & Compliance Fundamentals,Compliance,2022-05-31,70.1,Yes
282,1015,Leadership Fundamentals,Leadership,2019-11-15,77.9,Yes
283,1015,Advanced Excel,Technical,2024-06-09,67.5,No
284,1015,Change Management,Management,2020-08-02,100.0,Yes
285,1015,Manager Effectiveness,Leadership,2020-07-26,81.0,Yes
286,1015,Financial Modeling,Finance,2016-03-26,66.6,No
287,1016,Leadership Fundamentals,Leadership,2024-12-28,100.0,Yes
288,1016,Effective Communication,Soft Skills,2024-10-20,80.1,Yes
289,1016,Cybersecurity Awareness,Security,2024-10-22,53.7,No
290,1017,Machine Learning Basics,Technical,2024-01-09,83.0,Yes
291,1017,Power BI Fundamentals,Technical,2021-03-05,90.3,Yes
292,1017,Strategic Thinking,Leadership,2020-09-12,66.0,No
293,1017,Financial Modeling,Finance,2023-01-04,57.4,No
294,1017,Presentation Skills,Soft Skills,2021-06-02,63.1,No
295,1017,Advanced Excel,Technical,2023-07-13,78.6,Yes
296,1017,Cybersecurity Awareness,Security,2022-11-04,83.5,Yes
297,1017,Effective Communication,Soft Skills,2022-07-18,56.7,No
298,1017,Financial Modeling,Finance,2020-11-09,81.6,Yes
299,1017,Diversity & Inclusion,DEI,2024-05-05,87.1,Yes
300,1017,Change Management,Management,2024-07-18,75.5,Yes
301,1017,Workplace Harassment Prevention,Compliance,2024-11-06,92.4,Yes
302,1017,Negotiation Skills,Soft Skills,2022-04-29,86.8,Yes
303,1017,Workplace Harassment Prevention,Compliance,2022-10-28,69.4,No
304,1017,Presentation Skills,Soft Skills,2021-05-04,84.4,Yes
305,1018,Business Writing,Soft Skills,2024-01-14,72.6,Yes
306,1018,Workplace Harassment Prevention,Compliance,2023-09-05,63.9,No
307,1018,Manager Effectiveness,Leadership,2023-02-12,79.3,Yes
308,1018,Negotiation Skills,Soft Skills,2023-05-30,92.3,Yes
309,1018,Financial Modeling,Finance,2023-11-24,68.5,No
310,1018,Data Privacy & GDPR,Compliance,2024-03-06,96.0,Yes
311,1018,Advanced Excel,Technical,2023-12-19,71.0,Yes
312,1018,Project Management Professional,Management,2024-10-09,85.0,Yes
313,1018,SQL for Analysts,Technical,2023-12-06,69.4,No
314,1019,Project Management Professional,Management,2018-07-11,86.2,Yes
315,1019,Machine Learning Basics,Technical,2018-06-15,71.0,Yes
316,1019,Manager Effectiveness,Leadership,2020-03-17,67.2,No
317,1019,Data Privacy & GDPR,Compliance,2021-09-30,94.6,Yes
318,1019,Manager Effectiveness,Leadership,2018-01-18,70.8,Yes
319,1019,Unconscious Bias Training,DEI,2017-12-15,100.0,Yes
320,1019,Cloud Computing Essentials,Technical,2021-02-23,76.0,Yes
321,1019,Cybersecurity Awareness,Security,2021-11-09,78.6,Yes
322,1019,Leadership Fundamentals,Leadership,2020-03-16,77.7,Yes
323,1019,Business Writing,Soft Skills,2021-10-27,79.0,Yes
324,1019,Change Management,Management,2021-12-18,58.1,No
325,1019,Manager Effectiveness,Leadership,2018-07-09,71.1,Yes
326,1019,Diversity & Inclusion,DEI,2019-01-05,82.6,Yes
327,1019,Effective Communication,Soft Skills,2022-03-21,90.5,Yes
328,1019,Cybersecurity Awareness,Security,2020-06-29,93.0,Yes
329,1019,Manager Effectiveness,Leadership,2018-11-11,88.4,Yes
330,1019,SQL for Analysts,Technical,2017-07-18,94.8,Yes
331,1019,Data Privacy & GDPR,Compliance,2018-03-19,57.6,No
332,1019,Leadership Fundamentals,Leadership,2020-12-28,68.6,No
333,1019,Leadership Fundamentals,Leadership,2016-10-28,75.1,Yes
334,1019,Strategic Thinking,Leadership,2021-05-09,87.7,Yes
335,1020,Effective Communication,Soft Skills,2019-09-17,64.9,No
336,1020,Power BI Fundamentals,Technical,2019-09-24,59.6,No
337,1020,Effective Communication,Soft Skills,2020-03-17,72.4,Yes
338,1021,Supply Chain Management,Operations,2020-11-13,100.0,Yes
339,1021,Data Privacy & GDPR,Compliance,2024-05-13,96.1,Yes
340,1021,Customer Service Excellence,Customer Success,2023-05-09,98.8,Yes
341,1021,Power BI Fundamentals,Technical,2022-11-05,98.6,Yes
342,1021,Supply Chain Management,Operations,2017-12-08,65.2,No
343,1021,Machine Learning Basics,Technical,2018-04-08,68.3,No
344,1021,Agile & Scrum Fundamentals,Technical,2021-08-16,73.1,Yes
345,1021,Cybersecurity Awareness,Security,2017-04-16,75.8,Yes
346,1021,Effective Communication,Soft Skills,2020-11-09,76.2,Yes
347,1021,Power BI Fundamentals,Technical,2019-01-07,68.1,No
348,1021,Machine Learning Basics,Technical,2023-07-10,58.9,No
349,1021,Customer Service Excellence,Customer Success,2020-11-06,92.2,Yes
350,1021,Leadership Fundamentals,Leadership,2018-01-30,70.3,Yes
351,1021,Customer Service Excellence,Customer Success,2019-07-12,64.4,No
352,1021,Change Management,Management,2019-06-09,80.5,Yes
353,1021,Python for Data Analysis,Technical,2021-10-31,66.1,No
354,1021,Strategic Thinking,Leadership,2018-03-15,71.3,Yes
355,1021,Unconscious Bias Training,DEI,2023-01-09,86.7,Yes
356,1021,Power BI Fundamentals,Technical,2023-03-10,75.7,Yes
357,1021,Cybersecurity Awareness,Security,2023-05-10,79.6,Yes
358,1021,Strategic Thinking,Leadership,2020-04-01,89.0,Yes
359,1021,Power BI Fundamentals,Technical,2022-11-08,80.2,Yes
360,1021,Cybersecurity Awareness,Security,2023-05-26,54.4,No
361,1021,Data Privacy & GDPR,Compliance,2021-02-18,55.6,No
362,1021,Cybersecurity Awareness,Security,2022-05-30,90.0,Yes
363,1022,Manager Effectiveness,Leadership,2021-05-19,82.4,Yes
364,1022,Data Privacy & GDPR,Compliance,2022-05-30,81.7,Yes
365,1022,SQL for Analysts,Technical,2024-01-28,75.5,Yes
366,1022,SQL for Analysts,Technical,2021-07-08,85.3,Yes
367,1022,Unconscious Bias Training,DEI,2022-10-14,66.0,No
368,1022,Presentation Skills,Soft Skills,2021-10-20,85.4,Yes
369,1022,Python for Data Analysis,Technical,2021-08-12,76.1,Yes
370,1022,Advanced Excel,Technical,2024-05-10,66.7,No
371,1022,Workplace Harassment Prevention,Compliance,2023-05-15,83.4,Yes
372,1022,Change Management,Management,2022-12-13,66.0,No
373,1022,Presentation Skills,Soft Skills,2023-03-08,77.2,Yes
374,1022,Customer Service Excellence,Customer Success,2021-09-05,80.6,Yes
375,1022,Python for Data Analysis,Technical,2022-05-21,76.9,Yes
376,1022,Agile & Scrum Fundamentals,Technical,2023-12-04,87.5,Yes
377,1023,Financial Modeling,Finance,2023-03-13,89.5,Yes
378,1023,Diversity & Inclusion,DEI,2023-11-29,93.2,Yes
379,1023,Risk & Compliance Fundamentals,Compliance,2023-04-08,76.0,Yes
380,1023,SQL for Analysts,Technical,2022-07-07,79.0,Yes
381,1023,Financial Modeling,Finance,2022-09-28,73.5,Yes
382,1023,Business Writing,Soft Skills,2019-01-18,64.4,No
383,1023,Business Writing,Soft Skills,2024-04-05,82.1,Yes
384,1023,Machine Learning Basics,Technical,2022-08-20,87.4,Yes
385,1023,Data Privacy & GDPR,Compliance,2023-11-23,92.9,Yes
386,1023,Manager Effectiveness,Leadership,2018-08-19,87.1,Yes
387,1023,Business Writing,Soft Skills,2018-07-24,84.6,Yes
388,1023,Change Management,Management,2022-10-22,72.9,Yes
389,1023,Customer Service Excellence,Customer Success,2022-06-03,63.9,No
390,1023,Effective Communication,Soft Skills,2018-03-31,82.9,Yes
391,1023,Cybersecurity Awareness,Security,2020-10-03,77.2,Yes
392,1023,SQL for Analysts,Technical,2019-10-01,79.8,Yes
393,1023,Cybersecurity Awareness,Security,2020-09-11,78.6,Yes
394,1023,Leadership Fundamentals,Leadership,2024-02-22,93.8,Yes
395,1023,Effective Communication,Soft Skills,2022-08-01,87.1,Yes
396,1023,Cloud Computing Essentials,Technical,2019-05-25,68.8,No
397,1023,Leadership Fundamentals,Leadership,2022-01-16,100.0,Yes
398,1023,Agile & Scrum Fundamentals,Technical,2018-01-11,70.2,Yes
399,1023,Strategic Thinking,Leadership,2021-04-20,63.8,No
400,1023,Cloud Computing Essentials,Technical,2019-07-14,77.7,Yes
401,1023,Unconscious Bias Training,DEI,2021-03-31,87.1,Yes
402,1023,SQL for Analysts,Technical,2020-02-18,66.4,No
403,1024,Risk & Compliance Fundamentals,Compliance,2018-12-02,83.4,Yes
404,1024,Cybersecurity Awareness,Security,2021-08-15,95.1,Yes
405,1024,Business Writing,Soft Skills,2018-10-20,76.3,Yes
406,1024,Project Management Professional,Management,2023-10-25,91.3,Yes
407,1024,Cloud Computing Essentials,Technical,2023-08-07,61.9,No
408,1024,Advanced Excel,Technical,2021-04-15,72.1,Yes
409,1024,Diversity & Inclusion,DEI,2021-08-10,92.2,Yes
410,1024,Presentation Skills,Soft Skills,2020-06-16,82.4,Yes
